invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
i134446,c661696,technology,5,5250.0,24-01-2023,mall of istanbul
i112064,c203624,food & beverage,1,5.23,24-01-2023,kanyon
i192662,c238146,clothing,3,900.24,21-02-2023,istinye park
i233758,c325757,clothing,3,900.24,22-01-2023,istinye park
i978050,c176604,food & beverage,5,26.15,01-02-2023,mall of istanbul
i184859,c272792,clothing,4,1200.32,17-01-2023,mall of istanbul
i133952,c233646,books,5,75.75,02-02-2023,mall of istanbul
i229390,c246959,souvenir,3,35.19,15-02-2023,kanyon
i983925,c198062,cosmetics,3,121.98,09-01-2023,metrocity
i237866,c297260,shoes,5,3000.85,13-01-2023,metropol avm
i148577,c952467,shoes,5,3000.85,05-01-2023,metrocity
i645871,c578468,cosmetics,4,162.64,02-02-2023,zorlu center
i123918,c336809,clothing,1,300.08,07-02-2023,emaar square mall
i139745,c117351,technology,2,2100.0,20-02-2023,istinye park
i105721,c318000,clothing,4,1200.32,13-01-2023,kanyon
i119685,c211689,clothing,2,600.16,05-02-2023,viaport outlet
i126694,c311661,toys,4,143.36,28-01-2023,istinye park
i188063,c632239,clothing,2,600.16,03-03-2023,mall of istanbul
i187255,c113670,clothing,4,1200.32,05-02-2023,mall of istanbul
i572573,c205210,shoes,3,1800.51,30-01-2023,metropol avm
i153262,c151884,clothing,2,600.16,07-03-2023,metrocity
i737951,c143091,books,1,15.15,23-02-2023,viaport outlet
i213763,c262982,clothing,4,1200.32,26-02-2023,istinye park
i212437,c241260,toys,2,71.68,06-03-2023,metropol avm
i147428,c192403,food & beverage,3,15.69,07-02-2023,forum istanbul
i324526,c173979,technology,4,4200.0,07-03-2023,istinye park
i170200,c116013,clothing,3,900.24,08-02-2023,mall of istanbul
i916921,c876606,clothing,2,600.16,02-01-2023,viaport outlet
i168776,c231125,clothing,1,300.08,09-02-2023,istinye park
i130454,c155210,technology,1,1050.0,09-01-2023,metropol avm
i142757,c308224,toys,3,107.52,23-02-2023,metrocity
i194729,c561708,shoes,4,2400.68,24-02-2023,mall of istanbul
i136074,c173996,cosmetics,1,40.66,13-01-2023,mall of istanbul
i250095,c140031,clothing,2,600.16,04-02-2023,metrocity
i156932,c262657,clothing,5,1500.4,16-02-2023,kanyon
i324135,c295545,clothing,3,900.24,03-01-2023,mall of istanbul
i228011,c248081,shoes,3,1800.51,13-02-2023,mall of istanbul
i429412,c184011,toys,1,35.84,03-02-2023,viaport outlet
i165270,c140342,clothing,5,1500.4,27-02-2023,mall of istanbul
i202056,c958378,books,4,60.6,07-02-2023,metrocity
i955408,c274639,clothing,1,300.08,27-02-2023,kanyon
i760747,c370083,clothing,2,600.16,27-02-2023,kanyon
i557804,c208335,cosmetics,3,121.98,23-01-2023,mall of istanbul
i274795,c314543,shoes,2,1200.34,08-03-2023,metropol avm
i599893,c496957,shoes,1,600.17,30-01-2023,viaport outlet
i266781,c226901,toys,3,107.52,25-01-2023,istinye park
i232062,c525444,clothing,5,1500.4,22-01-2023,zorlu center
i260295,c323715,food & beverage,5,26.15,21-02-2023,istinye park
i478239,c216402,toys,3,107.52,23-02-2023,emaar square mall
i294064,c157231,cosmetics,4,162.64,04-03-2023,mall of istanbul
i158989,c644501,cosmetics,3,121.98,22-01-2023,mall of istanbul
i250203,c226800,technology,2,2100.0,17-01-2023,mall of istanbul
i104160,c120670,clothing,3,900.24,16-01-2023,mall of istanbul
i320496,c472457,clothing,4,1200.32,13-01-2023,forum istanbul
i323948,c137694,food & beverage,3,15.69,16-02-2023,kanyon
i314442,c851697,books,5,75.75,04-01-2023,metropol avm
i241813,c259650,clothing,5,1500.4,04-02-2023,istinye park
i280091,c277636,souvenir,4,46.92,01-03-2023,metrocity
i177200,c197871,food & beverage,1,5.23,22-02-2023,viaport outlet
i135566,c306867,clothing,2,600.16,24-02-2023,metropol avm
i241446,c214743,toys,2,71.68,01-01-2023,kanyon
i106687,c335983,clothing,4,1200.32,05-01-2023,metrocity
i206495,c309927,shoes,1,600.17,12-01-2023,kanyon
i318281,c164736,souvenir,2,23.46,08-02-2023,cevahir avm
i509314,c193427,clothing,1,300.08,03-02-2023,kanyon
i265794,c261459,clothing,3,900.24,14-02-2023,mall of istanbul
i166626,c332667,clothing,4,1200.32,03-03-2023,metrocity
i323407,c241345,toys,4,143.36,25-01-2023,mall of istanbul
i786441,c151925,clothing,3,900.24,12-01-2023,metropol avm
i317873,c535096,clothing,1,300.08,27-01-2023,zorlu center
i150400,c219995,clothing,3,900.24,07-01-2023,metrocity
i252715,c623628,clothing,3,900.24,02-01-2023,mall of istanbul
i202792,c963729,clothing,5,1500.4,01-03-2023,kanyon
i287301,c202744,food & beverage,1,5.23,08-01-2023,kanyon
i189261,c163301,cosmetics,5,203.3,22-02-2023,istinye park
i177135,c654762,clothing,5,1500.4,30-01-2023,kanyon
i446775,c135162,clothing,4,1200.32,14-01-2023,mall of istanbul
i180909,c114698,shoes,4,2400.68,26-02-2023,zorlu center
i252712,c865866,clothing,2,600.16,28-02-2023,kanyon
i162230,c599749,cosmetics,1,40.66,24-01-2023,mall of istanbul
i327961,c252500,souvenir,2,23.46,24-02-2023,cevahir avm
i187874,c194270,books,4,60.6,21-01-2023,mall of istanbul
i315209,c330263,clothing,2,600.16,02-02-2023,mall of istanbul
i223993,c318751,cosmetics,4,162.64,04-02-2023,istinye park
i653178,c176551,food & beverage,5,26.15,09-01-2023,kanyon
i300117,c968038,clothing,3,900.24,03-01-2023,metrocity
i247839,c184299,clothing,1,300.08,17-02-2023,kanyon
i230347,c696396,souvenir,1,11.73,27-01-2023,kanyon
i154426,c208165,clothing,5,1500.4,23-01-2023,metropol avm
i260704,c110520,clothing,5,1500.4,02-03-2023,metrocity
i273212,c640694,books,4,60.6,12-02-2023,metropol avm
i167565,c759854,cosmetics,1,40.66,08-03-2023,zorlu center
i725048,c934207,food & beverage,4,20.92,15-01-2023,kanyon
i265048,c296532,food & beverage,5,26.15,16-02-2023,metrocity
i137646,c162352,clothing,2,600.16,28-02-2023,kanyon
i167926,c228581,clothing,2,600.16,02-01-2023,mall of istanbul
i177813,c247391,clothing,2,600.16,24-02-2023,metropol avm
i180472,c883222,souvenir,4,46.92,04-03-2023,kanyon
i190345,c137037,clothing,4,1200.32,18-02-2023,metropol avm
i147310,c202302,clothing,2,600.16,23-02-2023,metropol avm
i603978,c225310,food & beverage,3,15.69,09-02-2023,kanyon
i108615,c217169,clothing,5,1500.4,07-02-2023,istinye park
i105654,c227568,clothing,5,1500.4,31-01-2023,kanyon
i125704,c176047,clothing,1,300.08,15-02-2023,zorlu center
i855056,c115193,toys,5,179.2,18-02-2023,mall of istanbul
i339038,c297518,shoes,3,1800.51,29-01-2023,forum istanbul
i100837,c827434,clothing,1,300.08,12-01-2023,cevahir avm
i248487,c129645,clothing,2,600.16,26-01-2023,kanyon
i327472,c182431,clothing,5,1500.4,27-02-2023,mall of istanbul
i133114,c259341,cosmetics,1,40.66,28-01-2023,istinye park
i328624,c145780,food & beverage,2,10.46,05-03-2023,mall of istanbul
i275086,c133580,technology,5,5250.0,14-02-2023,emaar square mall
i229099,c163096,cosmetics,1,40.66,11-01-2023,viaport outlet
i279968,c234828,clothing,2,600.16,26-01-2023,mall of istanbul
i279538,c265704,clothing,2,600.16,26-01-2023,metrocity
i106587,c630983,food & beverage,4,20.92,29-01-2023,zorlu center
i862051,c196894,clothing,4,1200.32,30-01-2023,mall of istanbul
i245998,c319815,food & beverage,4,20.92,03-01-2023,viaport outlet
i232389,c130963,clothing,2,600.16,04-03-2023,zorlu center
i255212,c178461,clothing,4,1200.32,21-02-2023,zorlu center
i284850,c238205,shoes,4,2400.68,13-02-2023,istinye park
i139097,c182764,souvenir,4,46.92,25-02-2023,istinye park
i579325,c209884,clothing,1,300.08,02-03-2023,mall of istanbul
i254055,c159217,clothing,3,900.24,19-01-2023,metropol avm
i179216,c751695,food & beverage,3,15.69,18-01-2023,forum istanbul
i338697,c169195,cosmetics,3,121.98,19-01-2023,istinye park
i229482,c339398,clothing,5,1500.4,04-03-2023,metropol avm
i191853,c236866,clothing,4,1200.32,23-02-2023,metrocity
i262341,c158981,clothing,4,1200.32,04-02-2023,metrocity
i338407,c149392,cosmetics,3,121.98,15-01-2023,emaar square mall
i328737,c314798,clothing,3,900.24,19-01-2023,viaport outlet
i876594,c197040,clothing,1,300.08,17-01-2023,zorlu center
i338238,c331096,shoes,5,3000.85,16-02-2023,metropol avm
i121484,c383440,shoes,4,2400.68,21-02-2023,mall of istanbul
i258945,c239069,clothing,5,1500.4,21-01-2023,mall of istanbul
i266158,c908588,clothing,5,1500.4,06-01-2023,forum istanbul
i182152,c527849,food & beverage,2,10.46,07-02-2023,mall of istanbul
i279761,c247150,technology,4,4200.0,27-02-2023,mall of istanbul
i286656,c335089,cosmetics,4,162.64,16-01-2023,mall of istanbul
i215094,c300779,food & beverage,4,20.92,16-01-2023,metrocity
i183304,c330674,clothing,5,1500.4,22-01-2023,metrocity
i260807,c250159,clothing,2,600.16,04-02-2023,zorlu center
i296059,c293126,toys,3,107.52,30-01-2023,viaport outlet
i125368,c630501,cosmetics,2,81.32,22-02-2023,mall of istanbul
i329083,c194754,cosmetics,1,40.66,16-02-2023,kanyon
i414748,c270649,toys,5,179.2,23-02-2023,metropol avm
i134195,c312025,technology,2,2100.0,02-01-2023,mall of istanbul
i910012,c330392,toys,2,71.68,06-01-2023,viaport outlet
i237671,c279326,clothing,5,1500.4,08-01-2023,forum istanbul
i334994,c218136,toys,1,35.84,23-02-2023,istinye park
i914792,c283913,cosmetics,5,203.3,12-01-2023,metropol avm
i272319,c992343,cosmetics,5,203.3,02-03-2023,cevahir avm
i632702,c111703,food & beverage,5,26.15,21-02-2023,metrocity
i293170,c247307,food & beverage,5,26.15,07-01-2023,metropol avm
i327337,c262603,books,5,75.75,12-01-2023,kanyon
i196941,c282400,cosmetics,1,40.66,24-02-2023,forum istanbul
i275670,c115590,clothing,2,600.16,09-01-2023,metropol avm
i267553,c153677,souvenir,4,46.92,18-01-2023,metrocity
i548921,c549441,food & beverage,4,20.92,06-02-2023,emaar square mall
i102162,c274417,food & beverage,3,15.69,12-02-2023,metropol avm
i205009,c303982,cosmetics,4,162.64,07-03-2023,kanyon
i123297,c682196,clothing,3,900.24,11-02-2023,istinye park
i959566,c271390,books,3,45.45,05-01-2023,mall of istanbul
i305859,c660237,clothing,5,1500.4,20-01-2023,kanyon
i212761,c128585,clothing,2,600.16,24-02-2023,metropol avm
i296663,c801804,clothing,2,600.16,19-01-2023,metropol avm
i316228,c104942,shoes,2,1200.34,17-02-2023,metrocity
i233226,c149085,shoes,4,2400.68,05-03-2023,istinye park
i127088,c305289,clothing,3,900.24,26-02-2023,istinye park
i133661,c284314,shoes,2,1200.34,23-01-2023,kanyon
i878054,c238897,clothing,5,1500.4,14-02-2023,kanyon
i720616,c295083,toys,3,107.52,01-03-2023,metropol avm
i224917,c268028,books,4,60.6,12-02-2023,metrocity
i312304,c119279,toys,5,179.2,25-01-2023,forum istanbul
i112973,c218951,food & beverage,3,15.69,22-01-2023,kanyon
i426858,c136196,cosmetics,3,121.98,11-02-2023,forum istanbul
i130750,c498989,toys,5,179.2,14-02-2023,forum istanbul
i178408,c237980,clothing,3,900.24,20-02-2023,mall of istanbul
i175130,c715295,food & beverage,3,15.69,21-01-2023,mall of istanbul
i271769,c248629,cosmetics,5,203.3,03-02-2023,mall of istanbul
i108644,c296713,clothing,5,1500.4,27-01-2023,kanyon
i147656,c281073,clothing,3,900.24,16-01-2023,metrocity
i108780,c225218,technology,1,1050.0,03-01-2023,kanyon
i308519,c207786,cosmetics,5,203.3,24-01-2023,mall of istanbul
i274448,c288663,food & beverage,3,15.69,07-03-2023,forum istanbul
i391615,c219598,shoes,3,1800.51,03-01-2023,viaport outlet
i191678,c128475,clothing,1,300.08,26-01-2023,emaar square mall
i197485,c762577,clothing,3,900.24,03-02-2023,kanyon
i298502,c946714,clothing,4,1200.32,27-01-2023,mall of istanbul
i217159,c607903,clothing,2,600.16,30-01-2023,mall of istanbul
i342740,c285875,cosmetics,3,121.98,18-01-2023,kanyon
i495637,c306435,food & beverage,4,20.92,12-02-2023,zorlu center
i941039,c256457,clothing,4,1200.32,20-01-2023,istinye park
i210732,c290210,food & beverage,4,20.92,12-02-2023,istinye park
i265477,c147703,clothing,1,300.08,13-01-2023,istinye park
i116014,c273447,cosmetics,1,40.66,24-01-2023,zorlu center
i273873,c143869,technology,1,1050.0,23-02-2023,zorlu center
i244714,c120189,food & beverage,5,26.15,01-03-2023,mall of istanbul
i112048,c419768,clothing,3,900.24,23-01-2023,metropol avm
i247300,c575685,toys,4,143.36,09-02-2023,viaport outlet
i338384,c265738,technology,5,5250.0,12-01-2023,kanyon
i132244,c182769,shoes,1,600.17,15-02-2023,metropol avm
i276210,c188804,souvenir,2,23.46,28-02-2023,mall of istanbul
i240017,c338164,technology,5,5250.0,29-01-2023,mall of istanbul
i162119,c159423,clothing,2,600.16,22-02-2023,kanyon
i151404,c797228,food & beverage,4,20.92,17-02-2023,kanyon
i635168,c802229,cosmetics,5,203.3,10-02-2023,cevahir avm
i285409,c131325,technology,1,1050.0,07-02-2023,metropol avm
i145950,c244823,clothing,3,900.24,06-02-2023,mall of istanbul
i268393,c327600,food & beverage,4,20.92,09-01-2023,kanyon
i298256,c332389,clothing,2,600.16,17-01-2023,metrocity
i231266,c143178,cosmetics,3,121.98,28-02-2023,metrocity
i133893,c845762,toys,2,71.68,19-02-2023,metropol avm
i258067,c137765,cosmetics,4,162.64,25-01-2023,mall of istanbul
i141974,c246331,clothing,1,300.08,23-01-2023,metropol avm
i613345,c265374,technology,1,1050.0,09-02-2023,cevahir avm
i305653,c283395,cosmetics,3,121.98,25-01-2023,kanyon
i287643,c179647,food & beverage,1,5.23,07-03-2023,cevahir avm
i197676,c205872,cosmetics,4,162.64,05-01-2023,kanyon
i264460,c637103,clothing,3,900.24,13-02-2023,viaport outlet
i238555,c170020,clothing,1,300.08,05-03-2023,mall of istanbul
i219229,c105467,food & beverage,5,26.15,16-01-2023,emaar square mall
i625052,c191318,clothing,2,600.16,07-02-2023,kanyon
i272486,c201303,food & beverage,3,15.69,27-01-2023,zorlu center
i301962,c179409,books,3,45.45,13-01-2023,kanyon
i193976,c279812,clothing,3,900.24,09-01-2023,zorlu center
i329868,c805764,clothing,3,900.24,16-01-2023,kanyon
i478709,c290693,technology,3,3150.0,26-02-2023,kanyon
i167759,c155735,souvenir,3,35.19,14-02-2023,metropol avm
i159574,c182787,food & beverage,1,5.23,19-02-2023,mall of istanbul
i289860,c145731,technology,4,4200.0,08-01-2023,kanyon
i665330,c155280,toys,3,107.52,13-02-2023,istinye park
i170677,c198069,clothing,4,1200.32,16-01-2023,kanyon
i806340,c647607,clothing,1,300.08,28-01-2023,metrocity
i183315,c126024,cosmetics,4,162.64,03-03-2023,istinye park
i276834,c213266,clothing,2,600.16,01-01-2023,mall of istanbul
i295424,c256176,clothing,1,300.08,07-01-2023,forum istanbul
i593416,c468940,shoes,5,3000.85,03-03-2023,mall of istanbul
i123432,c540643,shoes,3,1800.51,17-01-2023,mall of istanbul
i144690,c322273,clothing,5,1500.4,25-01-2023,mall of istanbul
i821053,c245915,food & beverage,2,10.46,23-02-2023,istinye park
i228331,c231610,toys,1,35.84,06-03-2023,zorlu center
i123490,c312949,clothing,4,1200.32,01-01-2023,mall of istanbul
i306422,c209598,clothing,5,1500.4,15-02-2023,metrocity
i164286,c229511,food & beverage,2,10.46,11-02-2023,metrocity
i424872,c239376,clothing,2,600.16,01-03-2023,zorlu center
i333384,c163992,clothing,4,1200.32,26-02-2023,metropol avm
i266102,c412970,clothing,2,600.16,04-03-2023,metropol avm
i191026,c712220,clothing,1,300.08,09-02-2023,mall of istanbul
i961655,c322492,clothing,1,300.08,22-02-2023,kanyon
i285498,c185599,cosmetics,4,162.64,08-01-2023,kanyon
i282606,c205627,shoes,3,1800.51,07-02-2023,mall of istanbul
i196757,c504052,food & beverage,1,5.23,05-02-2023,cevahir avm
i311751,c784748,food & beverage,2,10.46,08-02-2023,metrocity
i381863,c156504,souvenir,1,11.73,31-01-2023,kanyon
i105285,c220743,books,3,45.45,19-01-2023,mall of istanbul
i275051,c140196,clothing,5,1500.4,06-01-2023,kanyon
i185461,c316439,cosmetics,3,121.98,09-01-2023,mall of istanbul
i396685,c118879,toys,5,179.2,28-02-2023,istinye park
i192246,c169903,books,3,45.45,02-01-2023,cevahir avm
i217213,c392896,food & beverage,3,15.69,10-01-2023,viaport outlet
i244370,c320367,technology,3,3150.0,20-02-2023,mall of istanbul
i731863,c159698,toys,5,179.2,19-02-2023,forum istanbul
i215119,c137031,toys,1,35.84,11-02-2023,metrocity
i273464,c301289,shoes,3,1800.51,19-01-2023,emaar square mall
i147284,c272483,clothing,5,1500.4,27-01-2023,kanyon
i338432,c102084,shoes,2,1200.34,10-02-2023,metrocity
i257504,c150679,souvenir,1,11.73,08-01-2023,viaport outlet
i262087,c941937,shoes,2,1200.34,22-01-2023,zorlu center
i234887,c268632,clothing,5,1500.4,29-01-2023,metrocity
i313046,c277496,toys,4,143.36,03-02-2023,metrocity
i580142,c202069,books,1,15.15,18-01-2023,cevahir avm
i209907,c289439,clothing,5,1500.4,06-01-2023,istinye park
i311366,c288504,cosmetics,5,203.3,18-02-2023,istinye park
i299362,c290907,clothing,1,300.08,04-01-2023,mall of istanbul
i785275,c141532,clothing,4,1200.32,09-02-2023,kanyon
i255425,c259810,cosmetics,2,81.32,15-01-2023,mall of istanbul
i205041,c314796,toys,2,71.68,12-01-2023,mall of istanbul
i987243,c300459,clothing,1,300.08,25-02-2023,forum istanbul
i549840,c202707,food & beverage,5,26.15,14-01-2023,metrocity
i202691,c858710,books,1,15.15,05-02-2023,emaar square mall
i240050,c322478,food & beverage,1,5.23,28-01-2023,mall of istanbul
i115451,c176992,cosmetics,3,121.98,05-03-2023,forum istanbul
i332121,c108441,cosmetics,4,162.64,27-01-2023,metropol avm
i170264,c301517,food & beverage,1,5.23,31-01-2023,kanyon
i919290,c142709,souvenir,2,23.46,26-02-2023,mall of istanbul
i232002,c352229,clothing,3,900.24,18-01-2023,metrocity
i181438,c141291,food & beverage,4,20.92,03-01-2023,metrocity
i204003,c813101,souvenir,5,58.65,21-02-2023,metrocity
i212720,c255859,clothing,1,300.08,20-01-2023,metropol avm
i192040,c307765,food & beverage,5,26.15,05-01-2023,kanyon
