customer_id,gender,age,payment_method
c153677,male,22.0,debit card
c549441,male,48.0,cash
c274417,female,64.0,credit card
c303982,female,51.0,credit card
c682196,male,46.0,cash
c271390,female,23.0,cash
c660237,male,47.0,debit card
c128585,female,68.0,cash
c801804,female,26.0,debit card
c104942,male,35.0,cash
c149085,male,57.0,cash
c305289,female,43.0,debit card
c284314,female,36.0,cash
c238897,female,24.0,credit card
c295083,female,19.0,cash
c268028,female,60.0,debit card
c119279,female,63.0,cash
c218951,female,60.0,debit card
c136196,female,42.0,credit card
c498989,female,37.0,cash
c237980,male,49.0,cash
c715295,male,37.0,cash
c248629,female,47.0,credit card
c296713,female,47.0,credit card
c281073,female,55.0,credit card
c225218,female,35.0,cash
c207786,female,68.0,credit card
c288663,female,23.0,cash
c219598,male,67.0,credit card
c128475,female,60.0,credit card
c762577,female,36.0,debit card
c946714,female,26.0,credit card
c607903,female,44.0,credit card
c285875,female,55.0,debit card
c306435,female,53.0,cash
c256457,female,68.0,credit card
c290210,female,56.0,credit card
c147703,male,51.0,cash
c273447,female,49.0,debit card
c143869,female,25.0,credit card
c120189,male,29.0,cash
c419768,male,20.0,debit card
c575685,female,58.0,debit card
c265738,female,47.0,cash
c182769,male,54.0,cash
c188804,male,24.0,cash
c338164,female,24.0,credit card
c159423,female,24.0,cash
c797228,male,43.0,debit card
c802229,male,30.0,credit card
c131325,male,42.0,debit card
c244823,male,61.0,cash
c327600,female,60.0,debit card
c332389,female,46.0,debit card
c143178,female,69.0,cash
c845762,female,61.0,cash
c137765,female,25.0,cash
c246331,male,58.0,cash
c265374,male,32.0,debit card
c283395,male,25.0,debit card
c179647,male,50.0,credit card
c205872,male,42.0,credit card
c637103,female,53.0,credit card
c170020,male,47.0,credit card
c105467,male,37.0,cash
c191318,female,55.0,cash
c201303,male,54.0,cash
c179409,female,59.0,debit card
c279812,female,49.0,cash
c805764,male,63.0,credit card
c290693,male,58.0,credit card
c155735,female,24.0,cash
c182787,female,62.0,credit card
c145731,male,23.0,debit card
c155280,female,65.0,credit card
c198069,male,40.0,credit card
c647607,male,41.0,cash
c126024,female,56.0,cash
c213266,female,65.0,cash
c256176,female,21.0,credit card
c468940,female,34.0,cash
c540643,female,64.0,credit card
c322273,female,25.0,credit card
c245915,male,46.0,debit card
c231610,male,34.0,debit card
c312949,female,63.0,cash
c209598,female,45.0,debit card
c229511,male,30.0,credit card
c239376,male,38.0,debit card
c163992,male,49.0,cash
c412970,female,67.0,cash
c712220,female,37.0,credit card
c322492,male,63.0,cash
c185599,female,59.0,cash
c205627,male,21.0,cash
c504052,female,32.0,credit card
c784748,female,25.0,debit card
c156504,female,59.0,cash
c220743,female,53.0,debit card
c140196,female,57.0,cash
c316439,female,50.0,credit card
c118879,female,63.0,credit card
c169903,male,20.0,debit card
c392896,female,43.0,cash
c320367,male,40.0,cash
c159698,female,68.0,credit card
c137031,male,47.0,cash
c301289,male,58.0,credit card
c272483,male,48.0,debit card
c102084,female,55.0,cash
c150679,female,19.0,credit card
c941937,female,67.0,credit card
c268632,male,27.0,debit card
c277496,female,49.0,debit card
c202069,male,19.0,credit card
c289439,male,27.0,cash
c288504,female,65.0,credit card
c290907,female,21.0,debit card
c141532,male,20.0,debit card
c259810,male,18.0,debit card
c314796,female,26.0,debit card
c300459,female,48.0,credit card
c202707,female,49.0,cash
c858710,female,59.0,debit card
c322478,female,39.0,debit card
c176992,male,67.0,cash
c108441,female,30.0,credit card
c301517,female,31.0,cash
c142709,female,56.0,debit card
c352229,male,51.0,credit card
c141291,male,48.0,debit card
c813101,female,34.0,cash
c255859,female,47.0,credit card
c307765,female,51.0,cash
c217292,male,48.0,debit card
c336474,female,23.0,credit card
c168448,female,43.0,credit card
c243452,female,58.0,cash
c204116,male,40.0,cash
c324518,male,38.0,cash
c244394,male,67.0,cash
c254246,female,35.0,credit card
c259755,female,35.0,cash
c192180,female,55.0,cash
c110697,female,65.0,credit card
c103773,female,56.0,credit card
c117844,male,63.0,credit card
c137520,female,18.0,debit card
c299718,male,64.0,debit card
c881464,female,37.0,credit card
c142836,female,40.0,cash
c490638,female,43.0,cash
c218325,female,39.0,cash
c181253,male,27.0,cash
c324311,male,56.0,cash
c242037,female,55.0,cash
c183902,male,59.0,debit card
c307023,female,63.0,cash
c251152,male,21.0,cash
c181049,male,25.0,debit card
c303561,male,68.0,debit card
c174280,female,20.0,debit card
c216475,male,29.0,credit card
c243321,male,69.0,credit card
c188254,female,28.0,cash
c967411,female,30.0,debit card
c213824,male,66.0,credit card
c365532,female,63.0,debit card
c292600,male,20.0,debit card
c237735,male,19.0,cash
c377947,male,57.0,cash
c743987,male,34.0,debit card
c271328,female,68.0,cash
c606042,male,55.0,debit card
c583645,female,52.0,debit card
c213605,female,28.0,cash
c138279,female,49.0,credit card
c330253,male,53.0,cash
c175807,female,35.0,debit card
c203766,female,37.0,debit card
c211457,female,33.0,debit card
c173302,female,28.0,debit card
c154493,female,60.0,cash
c287707,female,21.0,credit card
c313944,male,34.0,cash
c292192,male,61.0,credit card
c291505,female,47.0,cash
c265934,female,25.0,credit card
c289338,female,27.0,credit card
c121098,female,38.0,credit card
c304164,female,48.0,cash
c302459,male,22.0,cash
c251316,male,33.0,cash
c678577,female,20.0,cash
c331778,male,60.0,cash
c264437,female,63.0,cash
c218750,female,22.0,credit card
c339995,female,30.0,credit card
c333615,male,59.0,cash
c105807,male,26.0,debit card
c159693,male,51.0,debit card
c273562,female,41.0,credit card
c594692,female,62.0,debit card
c842175,female,41.0,debit card
c132246,female,40.0,cash
c308775,male,18.0,debit card
c906018,female,44.0,debit card
c257447,female,35.0,cash
c808557,female,33.0,credit card
c133434,female,57.0,credit card
c209716,female,48.0,debit card
c246832,female,26.0,credit card
c971436,female,67.0,credit card
c169976,female,63.0,cash
c134050,male,43.0,credit card
c278148,male,38.0,cash
c207143,female,63.0,credit card
c336374,female,43.0,cash
c302350,male,18.0,cash
c932441,female,19.0,credit card
c235090,female,59.0,credit card
c157782,female,60.0,credit card
c335619,male,45.0,cash
c710070,female,24.0,debit card
c275182,female,33.0,credit card
c259237,female,48.0,credit card
c385049,male,50.0,debit card
c116606,male,60.0,credit card
c110969,female,49.0,credit card
c527285,female,30.0,debit card
c673066,male,48.0,cash
c129700,male,23.0,debit card
c259617,female,45.0,cash
c249469,male,32.0,cash
c313283,male,29.0,cash
c455671,female,40.0,debit card
c187040,male,52.0,cash
c122762,female,27.0,debit card
c114628,female,22.0,credit card
c191441,female,23.0,debit card
c773042,male,49.0,credit card
c239514,female,48.0,debit card
c253605,male,45.0,cash
c782590,male,37.0,credit card
c315653,female,37.0,cash
c812222,female,29.0,debit card
c269715,female,52.0,credit card
c541025,female,21.0,credit card
c244734,female,64.0,cash
c140512,male,19.0,debit card
c769569,male,34.0,credit card
c971686,female,65.0,debit card
c256281,female,38.0,cash
c220395,female,60.0,credit card
c322048,female,62.0,cash
c262483,female,66.0,cash
c517780,female,30.0,debit card
c317196,male,28.0,cash
c295124,male,54.0,cash
c765889,male,21.0,credit card
c385215,male,22.0,credit card
c101068,male,52.0,cash
c261060,female,54.0,cash
c471164,female,19.0,cash
c166330,female,37.0,credit card
c272867,male,20.0,debit card
c228911,female,39.0,debit card
c983848,female,26.0,cash
c261374,female,52.0,cash
c125424,female,39.0,debit card
c265293,female,59.0,cash
c278511,male,32.0,cash
c114112,male,45.0,cash
c929166,male,54.0,credit card
c130783,female,35.0,credit card
c204395,female,44.0,cash
c129074,female,49.0,cash
c680405,male,27.0,credit card
c168059,female,57.0,credit card
c226617,female,45.0,cash
c142176,female,67.0,cash
c223603,male,67.0,cash
c316943,female,61.0,credit card
c644268,female,50.0,debit card
c439858,female,52.0,cash
c568348,female,36.0,debit card
c274618,male,31.0,cash
c273115,female,66.0,cash
c869501,male,43.0,debit card
c159441,female,48.0,credit card
c237806,male,50.0,debit card
c150782,female,37.0,cash
c299211,female,58.0,cash
c156711,male,64.0,credit card
c643861,male,47.0,cash
c281292,female,34.0,credit card
c293696,male,58.0,credit card
c223168,female,44.0,cash
c269376,female,30.0,credit card
c225672,female,24.0,cash
c696341,female,20.0,cash
c331205,male,41.0,cash
c220755,male,64.0,cash
c165504,female,18.0,credit card
c306595,female,42.0,cash
c291689,male,21.0,cash
c289028,male,40.0,cash
c299323,male,47.0,cash
c702803,male,45.0,credit card
c192050,male,20.0,debit card
c946325,female,61.0,credit card
c104317,male,33.0,cash
c212641,male,29.0,debit card
c306616,female,46.0,cash
c274619,female,25.0,credit card
c978942,female,47.0,credit card
c170900,male,65.0,cash
c501752,female,45.0,cash
c562137,female,20.0,debit card
c319464,female,65.0,cash
c339341,female,47.0,cash
c389397,male,22.0,credit card
c242120,female,31.0,cash
c165789,female,31.0,credit card
c574716,male,25.0,debit card
c286254,male,69.0,cash
c192765,female,33.0,credit card
c318807,male,34.0,credit card
c307353,male,39.0,cash
c111257,female,68.0,credit card
c709605,female,19.0,cash
c207180,female,31.0,debit card
c573715,male,42.0,credit card
c702214,male,42.0,cash
c254457,female,40.0,cash
c285243,female,60.0,credit card
c141987,male,46.0,credit card
c151427,female,34.0,debit card
c870024,female,19.0,debit card
c189683,male,42.0,cash
c130861,male,21.0,cash
c228606,female,59.0,credit card
c324971,female,24.0,credit card
c266593,female,46.0,cash
c245412,male,47.0,cash
c152300,female,49.0,credit card
c116029,male,59.0,credit card
c230139,male,69.0,cash
c254044,female,18.0,credit card
c258174,female,64.0,debit card
c194405,female,24.0,credit card
c133849,male,35.0,credit card
c137699,female,20.0,cash
c223099,female,52.0,debit card
c316886,male,58.0,credit card
c691678,female,40.0,debit card
c300802,male,40.0,cash
c279009,female,59.0,credit card
c156861,female,58.0,credit card
c447390,female,32.0,cash
c744677,female,57.0,cash
c635660,female,47.0,cash
c177382,male,54.0,cash
c253382,male,39.0,cash
c106117,female,58.0,cash
c277728,female,53.0,debit card
c166551,male,21.0,credit card
c152766,female,46.0,credit card
c275339,female,51.0,credit card
c275576,male,29.0,cash
c132004,female,31.0,debit card
c123467,female,23.0,credit card
c837885,female,66.0,cash
c112115,male,31.0,debit card
c153157,male,25.0,cash
c250180,female,40.0,debit card
c910754,female,33.0,debit card
c140756,male,29.0,cash
c256561,female,21.0,cash
c178384,male,61.0,debit card
c190179,female,45.0,credit card
c212138,female,67.0,credit card
c801613,male,19.0,credit card
c915450,female,31.0,debit card
c140142,female,38.0,credit card
c965850,female,42.0,credit card
c101377,male,27.0,cash
c162054,male,26.0,credit card
c107987,male,64.0,cash
c228418,male,30.0,credit card
c908773,male,52.0,debit card
c264865,female,38.0,credit card
c163445,male,66.0,credit card
c160252,male,53.0,credit card
c218379,male,30.0,cash
c214454,female,39.0,credit card
c323277,female,52.0,cash
c169370,male,31.0,cash
c333121,female,53.0,credit card
c199109,female,41.0,credit card
c215722,male,49.0,debit card
c269696,male,65.0,cash
c582445,female,35.0,debit card
c191511,male,48.0,credit card
c155994,female,31.0,cash
c171757,female,42.0,credit card
c171691,male,19.0,cash
c163432,female,20.0,cash
c141652,male,42.0,credit card
c251083,female,21.0,cash
c248634,female,47.0,cash
c284418,female,28.0,credit card
c166265,male,39.0,credit card
c164285,female,18.0,cash
c118005,female,50.0,debit card
c147016,male,35.0,debit card
c322584,male,51.0,cash
c276262,male,21.0,cash
c227012,male,56.0,credit card
c196149,male,30.0,cash
c188136,male,54.0,cash
c261954,female,63.0,credit card
c132816,male,56.0,credit card
c242763,male,50.0,credit card
c200462,male,53.0,credit card
c620158,male,43.0,debit card
c256448,female,51.0,debit card
c265036,male,18.0,credit card
c302140,female,62.0,credit card
c325050,female,44.0,cash
c140467,male,20.0,cash
c184279,male,61.0,cash
c138212,female,40.0,credit card
c261583,female,65.0,cash
c152838,female,40.0,debit card
c292592,female,51.0,cash
c708499,male,32.0,credit card
c233258,male,64.0,cash
c222722,female,65.0,cash
c145826,female,63.0,credit card
c168008,female,27.0,debit card
c117452,male,61.0,credit card
c308533,male,47.0,credit card
c594337,male,59.0,credit card
c261856,male,34.0,cash
c235354,male,62.0,credit card
c125402,female,42.0,debit card
c932356,male,42.0,debit card
c118596,male,55.0,cash
c320073,female,43.0,cash
c200772,male,33.0,credit card
c501967,female,56.0,cash
c675111,female,46.0,credit card
c130446,male,18.0,debit card
c223948,male,21.0,debit card
c215406,male,32.0,credit card
c938850,male,23.0,cash
c249952,male,32.0,credit card
c467553,male,44.0,credit card
c186486,male,69.0,cash
c203526,female,63.0,credit card
c703338,female,38.0,credit card
c234120,female,25.0,credit card
c432763,female,62.0,credit card
c237094,female,30.0,debit card
c655155,female,38.0,credit card
c293587,male,31.0,credit card
c289665,female,58.0,debit card
c169168,female,27.0,credit card
c142237,female,36.0,cash
c218713,male,25.0,credit card
c862694,male,56.0,debit card
c908646,female,52.0,credit card
c124565,female,60.0,credit card
c387074,female,23.0,credit card
c121491,female,53.0,cash
c294946,female,53.0,cash
c807272,female,56.0,cash
c144808,female,28.0,cash
c123272,female,50.0,cash
c186797,female,30.0,cash
c101143,male,46.0,cash
c118386,female,61.0,credit card
c295919,male,19.0,credit card
c247197,male,20.0,debit card
c261987,male,34.0,cash
c819012,female,69.0,cash
c166202,male,44.0,cash
c246199,female,36.0,cash
c187045,male,26.0,credit card
c100551,female,32.0,debit card
c100155,female,61.0,debit card
c291392,male,69.0,credit card
c212564,female,57.0,debit card
c214950,female,20.0,cash
c306273,female,33.0,credit card
c295017,female,64.0,credit card
c156621,male,25.0,credit card
c132663,female,47.0,debit card
c164656,male,29.0,credit card
c322009,male,61.0,credit card
c116802,male,66.0,credit card
c496484,female,38.0,debit card
c876168,female,23.0,debit card
c971161,female,19.0,debit card
c119282,female,49.0,credit card
c540861,male,63.0,debit card
c157362,female,52.0,cash
c647994,male,25.0,cash
c184762,female,21.0,cash
c301719,female,27.0,cash
c216760,female,50.0,cash
c245194,female,29.0,credit card
c328520,female,47.0,cash
c197830,female,34.0,cash
c833710,male,62.0,debit card
c201379,male,60.0,cash
c184993,male,51.0,cash
c295462,male,54.0,cash
c241484,female,29.0,debit card
c146221,female,55.0,credit card
c182137,female,64.0,credit card
c160880,male,24.0,cash
c188188,female,68.0,credit card
c167454,male,45.0,cash
c141429,male,35.0,credit card
c331272,female,57.0,cash
c287582,male,18.0,cash
c202265,female,59.0,credit card
c239808,male,49.0,debit card
c264916,female,56.0,cash
c274092,female,64.0,debit card
c720872,female,20.0,cash
c267758,female,38.0,credit card
c648635,male,55.0,credit card
c335830,male,38.0,cash
c125261,female,29.0,credit card
c780927,male,32.0,debit card
c295155,male,30.0,debit card
c333209,female,20.0,cash
c254563,female,50.0,credit card
c316961,female,52.0,cash
c812985,male,65.0,credit card
c188350,female,39.0,debit card
c297072,female,44.0,credit card
c919080,female,67.0,credit card
c136792,female,20.0,debit card
c471629,female,63.0,debit card
c325876,female,66.0,credit card
c734028,male,69.0,debit card
c205896,male,33.0,cash
c437917,male,64.0,credit card
c954014,male,65.0,cash
c338100,female,67.0,credit card
c224033,male,28.0,debit card
c285791,female,26.0,cash
c101221,male,39.0,cash
c105655,male,27.0,cash
c131510,male,20.0,credit card
c339213,female,25.0,debit card
c182090,female,59.0,cash
c685322,female,42.0,cash
c824557,female,39.0,credit card
c285610,male,66.0,cash
c149557,female,49.0,debit card
c300157,female,46.0,cash
c279186,female,66.0,credit card
c141117,female,18.0,credit card
c110661,female,43.0,debit card
c208600,male,19.0,cash
c222757,female,27.0,cash
c320866,female,45.0,cash
c107989,female,50.0,credit card
c165290,male,67.0,debit card
c528600,male,20.0,credit card
c214354,male,60.0,credit card
c866827,male,57.0,cash
c113803,female,28.0,credit card
c796200,female,49.0,cash
c302421,female,65.0,cash
c123400,male,62.0,debit card
c287263,female,68.0,cash
c130949,female,48.0,debit card
c280246,female,21.0,cash
c498081,female,61.0,debit card
c834213,female,50.0,credit card
c113216,female,30.0,cash
c144080,female,22.0,credit card
c264305,male,41.0,debit card
c104592,female,33.0,cash
c965330,female,22.0,cash
c164782,female,44.0,cash
c201651,female,24.0,cash
c212298,female,33.0,credit card
c277704,female,29.0,debit card
c154587,female,57.0,debit card
c135392,female,64.0,cash
c332613,female,58.0,cash
c111588,female,19.0,cash
c320976,female,64.0,credit card
c237024,female,30.0,cash
c295280,male,52.0,credit card
c533967,female,51.0,cash
c616017,female,48.0,debit card
c485485,female,40.0,debit card
c420714,male,32.0,cash
c209836,female,68.0,cash
c727838,female,55.0,cash
c555097,male,58.0,cash
c334951,male,26.0,debit card
c261638,female,35.0,credit card
c317532,female,24.0,debit card
c238259,male,25.0,cash
c138611,female,67.0,cash
c230063,female,48.0,cash
c194729,female,63.0,cash
c117386,male,47.0,debit card
c326875,female,41.0,debit card
c974464,female,43.0,cash
c279142,female,25.0,cash
c722796,female,21.0,cash
c237642,female,53.0,credit card
c295681,female,31.0,credit card
c229363,female,52.0,credit card
c144456,male,32.0,credit card
c191883,male,23.0,debit card
c261710,male,48.0,cash
c248180,female,33.0,cash
c489051,female,57.0,cash
c178603,female,35.0,cash
c194406,male,34.0,cash
c539296,male,60.0,credit card
c409727,female,29.0,debit card
c259856,female,57.0,credit card
c896554,male,63.0,cash
c242993,female,54.0,credit card
c701005,female,51.0,credit card
c844434,female,31.0,debit card
c125027,male,32.0,credit card
c157943,male,27.0,credit card
c132104,male,23.0,credit card
c333158,female,38.0,debit card
c393733,female,69.0,debit card
c178719,male,50.0,cash
c992124,female,58.0,credit card
c978059,male,65.0,credit card
c252833,female,58.0,debit card
c185756,female,41.0,cash
c111568,female,37.0,cash
c273688,female,20.0,credit card
c126243,male,60.0,credit card
c288490,female,69.0,debit card
c212810,female,22.0,cash
c265102,female,49.0,credit card
c798262,female,47.0,cash
c184153,female,46.0,credit card
c125396,male,59.0,debit card
c267219,female,28.0,credit card
c160487,male,54.0,debit card
c132148,male,49.0,cash
c203127,male,62.0,debit card
c181137,female,57.0,credit card
c112863,female,40.0,credit card
c218982,male,36.0,cash
c263222,female,18.0,credit card
c339115,male,66.0,credit card
c756435,female,65.0,cash
c265388,female,28.0,credit card
c272069,male,24.0,debit card
c329576,male,68.0,cash
c191015,female,18.0,credit card
c448238,female,22.0,cash
c162533,female,27.0,cash
c495223,female,40.0,cash
c170055,female,63.0,credit card
c919593,female,64.0,debit card
c170200,female,38.0,credit card
c256800,male,56.0,credit card
c238370,female,37.0,cash
c856203,male,62.0,cash
c266373,male,63.0,credit card
c168741,female,33.0,cash
c131050,female,40.0,cash
c332238,female,39.0,debit card
c101432,male,30.0,cash
c121616,female,40.0,credit card
c444281,female,66.0,credit card
c332917,male,64.0,credit card
c861976,female,62.0,cash
c316382,female,66.0,credit card
c593800,male,63.0,cash
c701147,male,23.0,credit card
c128014,male,40.0,credit card
c346334,female,62.0,cash
c115918,male,67.0,credit card
c212052,female,38.0,credit card
c123933,female,63.0,credit card
c252266,female,30.0,cash
c147826,female,29.0,debit card
c726704,female,18.0,debit card
c783199,male,44.0,credit card
c223154,male,40.0,debit card
c240089,female,61.0,debit card
c305045,female,49.0,cash
c222698,female,58.0,credit card
c239929,female,69.0,debit card
c167923,female,33.0,cash
c152497,male,28.0,credit card
c112889,female,48.0,debit card
c305792,male,53.0,debit card
c160056,female,66.0,cash
c176863,male,22.0,cash
c307641,male,52.0,debit card
c289379,female,64.0,cash
c297854,male,62.0,cash
c546526,female,33.0,debit card
c239903,male,30.0,cash
c332610,female,32.0,cash
c275914,female,45.0,cash
c153525,female,28.0,cash
c289923,female,26.0,credit card
c111359,male,47.0,credit card
c269145,male,64.0,credit card
c957408,female,69.0,credit card
