query,type,expected,correct context,names,skip,response,retrieved_docs
The capital good consumer prices for 2024,product,,,,True,[''],['']
Durabale goods consumer prices for Austria,product,,,,True,[''],['']
capital and durable goods prices for Germany,product,,,,True,[''],['']
Germanies total emissons for 2024,product,,"[""The dataset titled \""GHG_totals_by_country\"" provides greenhouse gas (GHG) emissions data for various countries from 1970 to 2023. Each row represents a different country, with the first column indicating the country name and subsequent columns displaying the GHG emissions values for each year. For instance, Aruba's emissions show a gradual increase from 0.037 in 1970 to a peak of 0.589 in 2022, while Afghanistan's emissions exhibit more fluctuation, starting at 15.437 in 1970 and reaching 29.46 by 2023. This data can be useful for analyzing trends in GHG emissions over time and comparing the performance of different countries in terms of emissions reduction or increase.""]","[""GHG_totals_by_country""]",False,"The most fitting data product for the query regarding ""Germany's total emissions for 2024"" is:

1. **GHG_totals_by_country**: This dataset provides greenhouse gas (GHG) emissions data for various countries from 1970 to 2023. Although it does not include data for 2024, it offers a comprehensive historical overview of emissions trends for Germany up to 2023. By analyzing the trend from previous years, one could potentially estimate or project Germany's total emissions for 2024. 

Unfortunately, none of the provided datasets include actual emissions data for 2024, but the GHG_totals_by_country dataset is the most relevant for understanding Germany's emissions context leading up to that year.","['The dataset titled ""GHG_totals_by_country"" provides greenhouse gas (GHG) emissions data for various countries from 1970 to 2023. Each row represents a different country, with the first column indicating the country name and subsequent columns displaying the GHG emissions values for each year. For instance, Aruba\'s emissions show a gradual increase from 0.037 in 1970 to a peak of 0.589 in 2022, while Afghanistan\'s emissions exhibit more fluctuation, starting at 15.437 in 1970 and reaching 29.46 by 2023. This data can be useful for analyzing trends in GHG emissions over time and comparing the performance of different countries in terms of emissions reduction or increase.', 'The dataset titled ""GHG_by_sector_and_country"" provides greenhouse gas (GHG) emissions data categorized by sector and country from 1970 to 2023. It includes two entries for the agriculture sector in Afghanistan and Albania, detailing their respective emissions values over the years. The data reveals trends in emissions, with Afghanistan showing fluctuations and a notable increase in recent years, while Albania\'s emissions demonstrate a more stable pattern with some variations. This dataset is valuable for analyzing the impact of agricultural practices on GHG emissions across different countries over time.', 'The dataset ""customer_data_23"" contains information about customers, specifically focusing on their gender, age, and payment method. This data can be useful for analyzing customer demographics and payment preferences.', 'The dataset titled ""GHG_per_capita_by_country"" provides greenhouse gas emissions per capita for various countries from 1970 to 2023. It includes data for Aruba and Afghanistan, showcasing their annual emissions in metric tons per person over the specified years. The emissions for Aruba demonstrate a general upward trend, particularly notable in the late 1980s and early 2000s, while Afghanistan\'s emissions show fluctuations with a significant decline in the late 1990s and early 2000s. This dataset is valuable for analyzing trends in greenhouse gas emissions and understanding the environmental impact of different countries over time.', 'The dataset titled ""sales_data_23"" contains sales transaction records from various shopping malls, providing insights into consumer behavior and sales trends in early 2023.', 'The dataset titled ""LULUCF_macroregions"" provides a comprehensive overview of land use, land-use change, and forestry (LULUCF) metrics across Africa from 1990 to 2023. It includes two main sectors: Deforestation and Fires, with annual values reflecting the extent of deforestation and the occurrence of fires over the years. The data reveals trends in deforestation, showing a gradual increase in values, while the fire sector exhibits more variability, with notable peaks and troughs throughout the years. This dataset is essential for understanding environmental changes and challenges in Africa related to land use and forestry practices.']"
"Sweden, Norveigen and Finnlands per capita Co2 emissions according to the newest data",product,,"[""The dataset titled \""GHG_per_capita_by_country\"" provides greenhouse gas emissions per capita for various countries from 1970 to 2023. It includes data for Aruba and Afghanistan, showcasing their annual emissions in metric tons per person over the specified years. The emissions for Aruba demonstrate a general upward trend, particularly notable in the late 1980s and early 2000s, while Afghanistan's emissions show fluctuations with a significant decline in the late 1990s and early 2000s. This dataset is valuable for analyzing trends in greenhouse gas emissions and understanding the environmental impact of different countries over time.""]","[""GHG_per_capita_by_country""]",False,"The most fitting data product for your query is:

1. **GHG_per_capita_by_country**: This dataset provides greenhouse gas emissions per capita for various countries from 1970 to 2023. Although it specifically mentions Aruba and Afghanistan in the context provided, it is likely to include data for Sweden, Norway, and Finland as well, given that it covers multiple countries. This dataset will allow you to analyze the per capita CO2 emissions for these countries and compare their emissions trends over time, including the most recent data available.

If the dataset does not include Sweden, Norway, and Finland, you may need to look for additional datasets that specifically cover these countries' per capita emissions. However, based on the context provided, the **GHG_per_capita_by_country** is the most relevant option.","['The dataset titled ""GHG_totals_by_country"" provides greenhouse gas (GHG) emissions data for various countries from 1970 to 2023. Each row represents a different country, with the first column indicating the country name and subsequent columns displaying the GHG emissions values for each year. For instance, Aruba\'s emissions show a gradual increase from 0.037 in 1970 to a peak of 0.589 in 2022, while Afghanistan\'s emissions exhibit more fluctuation, starting at 15.437 in 1970 and reaching 29.46 by 2023. This data can be useful for analyzing trends in GHG emissions over time and comparing the performance of different countries in terms of emissions reduction or increase.', 'The dataset titled ""GHG_per_capita_by_country"" provides greenhouse gas emissions per capita for various countries from 1970 to 2023. It includes data for Aruba and Afghanistan, showcasing their annual emissions in metric tons per person over the specified years. The emissions for Aruba demonstrate a general upward trend, particularly notable in the late 1980s and early 2000s, while Afghanistan\'s emissions show fluctuations with a significant decline in the late 1990s and early 2000s. This dataset is valuable for analyzing trends in greenhouse gas emissions and understanding the environmental impact of different countries over time.', 'The dataset titled ""GHG_per_GDP_by_country"" provides greenhouse gas emissions per unit of GDP for two countries, Aruba and Afghanistan, spanning from 1990 to 2023. Each row contains the annual emissions data, measured in a specific unit, reflecting the economic performance and environmental impact of these nations over the years. The data reveals fluctuations in emissions, with Aruba showing a general trend of increase and decrease, while Afghanistan exhibits a more volatile pattern with significant peaks and troughs. This dataset is valuable for analyzing the relationship between economic growth and greenhouse gas emissions in these countries over the specified timeline.', 'The dataset titled ""GHG_by_sector_and_country"" provides greenhouse gas (GHG) emissions data categorized by sector and country from 1970 to 2023. It includes two entries for the agriculture sector in Afghanistan and Albania, detailing their respective emissions values over the years. The data reveals trends in emissions, with Afghanistan showing fluctuations and a notable increase in recent years, while Albania\'s emissions demonstrate a more stable pattern with some variations. This dataset is valuable for analyzing the impact of agricultural practices on GHG emissions across different countries over time.', 'The dataset titled ""LULUCF_macroregions"" provides a comprehensive overview of land use, land-use change, and forestry (LULUCF) metrics across Africa from 1990 to 2023. It includes two main sectors: Deforestation and Fires, with annual values reflecting the extent of deforestation and the occurrence of fires over the years. The data reveals trends in deforestation, showing a gradual increase in values, while the fire sector exhibits more variability, with notable peaks and troughs throughout the years. This dataset is essential for understanding environmental changes and challenges in Africa related to land use and forestry practices.', 'The dataset titled ""sales_data_23"" contains sales transaction records from various shopping malls, providing insights into consumer behavior and sales trends in early 2023.', 'The dataset ""customer_data_23"" contains information about customers, specifically focusing on their gender, age, and payment method. This data can be useful for analyzing customer demographics and payment preferences.']"
The ten countries with the highest per GDP emissions for 2007,product,,"[“The dataset titled \GHG_per_GDP_by_country\"" provides greenhouse gas emissions per unit of GDP for two countries, Aruba and Afghanistan, spanning from 1990 to 2023. Each row contains the annual emissions data, measured in a specific unit, reflecting the economic performance and environmental impact of these nations over the years. The data reveals fluctuations in emissions, with Aruba showing a general trend of increase and decrease, while Afghanistan exhibits a more volatile pattern with significant peaks and troughs. This dataset is valuable for analyzing the relationship between economic growth and greenhouse gas emissions in these countries over the specified timeline.""]","[""GHG_per_GDP_by_country""]",False,"The most fitting data products for the query ""The ten countries with the highest per GDP emissions for 2007"" are:

1. **GHG_per_GDP_by_country**: This dataset provides greenhouse gas emissions per unit of GDP for various countries from 1990 to 2023. Since the query specifically asks for data from 2007, this dataset is ideal as it includes the necessary emissions data for that year, allowing for a direct comparison of emissions relative to GDP across different countries.

2. **GHG_per_capita_by_country**: While this dataset focuses on emissions per capita, it can provide additional context regarding the overall emissions profile of countries in 2007. However, it is not directly related to GDP emissions, so it would be secondary to the first dataset.

The primary dataset, **GHG_per_GDP_by_country**, is the most relevant as it directly addresses the query regarding emissions per GDP for the specified year.","['The dataset titled ""GHG_per_GDP_by_country"" provides greenhouse gas emissions per unit of GDP for two countries, Aruba and Afghanistan, spanning from 1990 to 2023. Each row contains the annual emissions data, measured in a specific unit, reflecting the economic performance and environmental impact of these nations over the years. The data reveals fluctuations in emissions, with Aruba showing a general trend of increase and decrease, while Afghanistan exhibits a more volatile pattern with significant peaks and troughs. This dataset is valuable for analyzing the relationship between economic growth and greenhouse gas emissions in these countries over the specified timeline.', 'The dataset titled ""GHG_totals_by_country"" provides greenhouse gas (GHG) emissions data for various countries from 1970 to 2023. Each row represents a different country, with the first column indicating the country name and subsequent columns displaying the GHG emissions values for each year. For instance, Aruba\'s emissions show a gradual increase from 0.037 in 1970 to a peak of 0.589 in 2022, while Afghanistan\'s emissions exhibit more fluctuation, starting at 15.437 in 1970 and reaching 29.46 by 2023. This data can be useful for analyzing trends in GHG emissions over time and comparing the performance of different countries in terms of emissions reduction or increase.', 'The dataset titled ""GHG_per_capita_by_country"" provides greenhouse gas emissions per capita for various countries from 1970 to 2023. It includes data for Aruba and Afghanistan, showcasing their annual emissions in metric tons per person over the specified years. The emissions for Aruba demonstrate a general upward trend, particularly notable in the late 1980s and early 2000s, while Afghanistan\'s emissions show fluctuations with a significant decline in the late 1990s and early 2000s. This dataset is valuable for analyzing trends in greenhouse gas emissions and understanding the environmental impact of different countries over time.', 'The dataset titled ""GHG_by_sector_and_country"" provides greenhouse gas (GHG) emissions data categorized by sector and country from 1970 to 2023. It includes two entries for the agriculture sector in Afghanistan and Albania, detailing their respective emissions values over the years. The data reveals trends in emissions, with Afghanistan showing fluctuations and a notable increase in recent years, while Albania\'s emissions demonstrate a more stable pattern with some variations. This dataset is valuable for analyzing the impact of agricultural practices on GHG emissions across different countries over time.', 'The dataset titled ""LULUCF_macroregions"" provides a comprehensive overview of land use, land-use change, and forestry (LULUCF) metrics across Africa from 1990 to 2023. It includes two main sectors: Deforestation and Fires, with annual values reflecting the extent of deforestation and the occurrence of fires over the years. The data reveals trends in deforestation, showing a gradual increase in values, while the fire sector exhibits more variability, with notable peaks and troughs throughout the years. This dataset is essential for understanding environmental changes and challenges in Africa related to land use and forestry practices.', 'The dataset titled ""sales_data_23"" contains sales transaction records from various shopping malls, providing insights into consumer behavior and sales trends in early 2023.']"
The Co2 data for Arubas building sector where the emissions are between 0.02 and 0.03,product,,"[""The dataset titled \""GHG_by_sector_and_country\"" provides greenhouse gas (GHG) emissions data categorized by sector and country from 1970 to 2023. It includes two entries for the agriculture sector in Afghanistan and Albania, detailing their respective emissions values over the years. The data reveals trends in emissions, with Afghanistan showing fluctuations and a notable increase in recent years, while Albania's emissions demonstrate a more stable pattern with some variations. This dataset is valuable for analyzing the impact of agricultural practices on GHG emissions across different countries over time.""]","[""GHG_by_sector_and_country""]",False,"The most fitting data product for your query would be:

1. **GHG_by_sector_and_country**: This dataset provides greenhouse gas (GHG) emissions data categorized by sector and country, which includes emissions from the building sector. Although the dataset specifically mentions entries for the agriculture sector in Afghanistan and Albania, it is likely that the building sector data for Aruba may also be included or can be inferred from the overall GHG emissions data. This dataset would allow you to analyze the emissions from the building sector in Aruba and check if they fall within the specified range of 0.02 to 0.03.

Unfortunately, none of the provided datasets explicitly mention CO2 emissions for Aruba's building sector within the specified range. However, the GHG_by_sector_and_country dataset is the closest match for analyzing sector-specific emissions.","['The dataset titled ""GHG_per_GDP_by_country"" provides greenhouse gas emissions per unit of GDP for two countries, Aruba and Afghanistan, spanning from 1990 to 2023. Each row contains the annual emissions data, measured in a specific unit, reflecting the economic performance and environmental impact of these nations over the years. The data reveals fluctuations in emissions, with Aruba showing a general trend of increase and decrease, while Afghanistan exhibits a more volatile pattern with significant peaks and troughs. This dataset is valuable for analyzing the relationship between economic growth and greenhouse gas emissions in these countries over the specified timeline.', 'The dataset titled ""GHG_totals_by_country"" provides greenhouse gas (GHG) emissions data for various countries from 1970 to 2023. Each row represents a different country, with the first column indicating the country name and subsequent columns displaying the GHG emissions values for each year. For instance, Aruba\'s emissions show a gradual increase from 0.037 in 1970 to a peak of 0.589 in 2022, while Afghanistan\'s emissions exhibit more fluctuation, starting at 15.437 in 1970 and reaching 29.46 by 2023. This data can be useful for analyzing trends in GHG emissions over time and comparing the performance of different countries in terms of emissions reduction or increase.', 'The dataset titled ""GHG_by_sector_and_country"" provides greenhouse gas (GHG) emissions data categorized by sector and country from 1970 to 2023. It includes two entries for the agriculture sector in Afghanistan and Albania, detailing their respective emissions values over the years. The data reveals trends in emissions, with Afghanistan showing fluctuations and a notable increase in recent years, while Albania\'s emissions demonstrate a more stable pattern with some variations. This dataset is valuable for analyzing the impact of agricultural practices on GHG emissions across different countries over time.', 'The dataset titled ""GHG_per_capita_by_country"" provides greenhouse gas emissions per capita for various countries from 1970 to 2023. It includes data for Aruba and Afghanistan, showcasing their annual emissions in metric tons per person over the specified years. The emissions for Aruba demonstrate a general upward trend, particularly notable in the late 1980s and early 2000s, while Afghanistan\'s emissions show fluctuations with a significant decline in the late 1990s and early 2000s. This dataset is valuable for analyzing trends in greenhouse gas emissions and understanding the environmental impact of different countries over time.', 'The dataset titled ""LULUCF_macroregions"" provides a comprehensive overview of land use, land-use change, and forestry (LULUCF) metrics across Africa from 1990 to 2023. It includes two main sectors: Deforestation and Fires, with annual values reflecting the extent of deforestation and the occurrence of fires over the years. The data reveals trends in deforestation, showing a gradual increase in values, while the fire sector exhibits more variability, with notable peaks and troughs throughout the years. This dataset is essential for understanding environmental changes and challenges in Africa related to land use and forestry practices.', 'The dataset titled ""sales_data_23"" contains sales transaction records from various shopping malls, providing insights into consumer behavior and sales trends in early 2023.']"
The GWP_100_AR5_GHG data per region and sector decrasing,product,,"[""The dataset titled \""GHG_by_sector_and_country\"" provides greenhouse gas (GHG) emissions data categorized by sector and country from 1970 to 2023. It includes two entries for the agriculture sector in Afghanistan and Albania, detailing their respective emissions values over the years. The data reveals trends in emissions, with Afghanistan showing fluctuations and a notable increase in recent years, while Albania's emissions demonstrate a more stable pattern with some variations. This dataset is valuable for analyzing the impact of agricultural practices on GHG emissions across different countries over time.""]","[""GHG_by_sector_and_country""]",False,"Based on your query regarding the GWP_100_AR5_GHG data per region and sector decreasing, the following datasets would be the most fitting:

1. **GHG_by_sector_and_country**:
   - **Why it fits**: This dataset provides greenhouse gas emissions data categorized by sector and country from 1970 to 2023. It allows for analysis of emissions trends over time, which can help identify whether emissions are decreasing in specific sectors and regions. Although it does not explicitly mention GWP_100_AR5, it provides relevant emissions data that can be analyzed in the context of global warming potential.

2. **GHG_totals_by_country**:
   - **Why it fits**: This dataset offers a comprehensive view of greenhouse gas emissions for various countries over time. It can be used to analyze overall trends in emissions, including whether there is a decrease in emissions at the country level, which can be further broken down by sector if combined with other data. This dataset is useful for understanding the broader context of GHG emissions trends.

3. **GHG_per_capita_by_country**:
   - **Why it fits**: While this dataset focuses on per capita emissions, it can provide insights into trends in emissions relative to population changes. Analyzing per capita emissions can help determine if emissions are decreasing on a per-person basis, which may align with the query regarding decreasing GHG data.

These datasets collectively provide a foundation for analyzing greenhouse gas emissions trends by sector and region, which is essential for understanding the dynamics of GWP_100_AR5_GHG data.","['The dataset titled ""GHG_totals_by_country"" provides greenhouse gas (GHG) emissions data for various countries from 1970 to 2023. Each row represents a different country, with the first column indicating the country name and subsequent columns displaying the GHG emissions values for each year. For instance, Aruba\'s emissions show a gradual increase from 0.037 in 1970 to a peak of 0.589 in 2022, while Afghanistan\'s emissions exhibit more fluctuation, starting at 15.437 in 1970 and reaching 29.46 by 2023. This data can be useful for analyzing trends in GHG emissions over time and comparing the performance of different countries in terms of emissions reduction or increase.', 'The dataset ""customer_data_23"" contains information about customers, specifically focusing on their gender, age, and payment method. This data can be useful for analyzing customer demographics and payment preferences.', 'The dataset titled ""GHG_by_sector_and_country"" provides greenhouse gas (GHG) emissions data categorized by sector and country from 1970 to 2023. It includes two entries for the agriculture sector in Afghanistan and Albania, detailing their respective emissions values over the years. The data reveals trends in emissions, with Afghanistan showing fluctuations and a notable increase in recent years, while Albania\'s emissions demonstrate a more stable pattern with some variations. This dataset is valuable for analyzing the impact of agricultural practices on GHG emissions across different countries over time.', 'The dataset titled ""GHG_per_capita_by_country"" provides greenhouse gas emissions per capita for various countries from 1970 to 2023. It includes data for Aruba and Afghanistan, showcasing their annual emissions in metric tons per person over the specified years. The emissions for Aruba demonstrate a general upward trend, particularly notable in the late 1980s and early 2000s, while Afghanistan\'s emissions show fluctuations with a significant decline in the late 1990s and early 2000s. This dataset is valuable for analyzing trends in greenhouse gas emissions and understanding the environmental impact of different countries over time.', 'The dataset titled ""LULUCF_macroregions"" provides a comprehensive overview of land use, land-use change, and forestry (LULUCF) metrics across Africa from 1990 to 2023. It includes two main sectors: Deforestation and Fires, with annual values reflecting the extent of deforestation and the occurrence of fires over the years. The data reveals trends in deforestation, showing a gradual increase in values, while the fire sector exhibits more variability, with notable peaks and troughs throughout the years. This dataset is essential for understanding environmental changes and challenges in Africa related to land use and forestry practices.', 'The dataset titled ""sales_data_23"" contains sales transaction records from various shopping malls, providing insights into consumer behavior and sales trends in early 2023.']"
"The country with the highest total emission for the 2021,2023 and 2024 EDGAR emission report",product,,"[""The dataset titled \""LULUCF_macroregions\"" provides a comprehensive overview of land use, land-use change, and forestry (LULUCF) metrics across Africa from 1990 to 2023. It includes two main sectors: Deforestation and Fires, with annual values reflecting the extent of deforestation and the occurrence of fires over the years. The data reveals trends in deforestation, showing a gradual increase in values, while the fire sector exhibits more variability, with notable peaks and troughs throughout the years. This dataset is essential for understanding environmental changes and challenges in Africa related to land use and forestry practices.""]","[""LULUCF_macroregions""]",True,[''],['']
Germanies average per GDP emissions according to the second version of the EDGAR emission report,product,,,,True,[''],['']
All Customers between 30 and 50 years old,function,,"[""function name:filter\ndescription: filters a data product based on the provided filterdict, it filters row wise keeping all input columns\n""]",[“filter”],False,"The most fitting function for your problem is:

**Function Name:** filter  
**Description:** filters a data product based on the provided filterdict, it filters row wise keeping all input columns.  
**Filter_dict:** [{'condition': 'a dict with the corresponding columns and their values'}]  
**Example Condition:** {'age': {'min': 30, 'max': 50}}","[""function name:retrieve\nbase_api: http://127.0.0.1:5200/retrieve\ndescription: retrieves the specified data product, takes the data products name and a list of requested columns as arguments\nfilter_dict: [{'product': 'api of the data product'}, {'columns': 'list of columns to retrieve'}]\n"", ""function name:sum\nbase_api: http://127.0.0.1:5200/sum\ndescription: Calcuates the sum of a dataframe based on a list of group_by columns and\nfilter_dict: [{'group_by': 'a list of coulmns in the dataframe, can be None'}, {'columns': 'a list of columns for hicht the sum should be calculated, cant be None'}]\n"", ""function name:sortby\nbase_api: http://127.0.0.1:5200/sortby\ndescription: sorts the data based on a the provided columns and\nfilter_dict: [{'columns': 'a column on which the sorting is based on'}, {'ascending': 'True if the data is sorted ascending, False for descending'}]\n"", ""function name:filter\nbase_api: http://127.0.0.1:5200/filter\ndescription: filters a data product based on the provided filterdict, it filters row wise keeping all input columns\nfilter_dict: [{'condition': 'a dict ith the corresponding columns and their values'}]\nexample: {'condition':{'location':'berlin','year':{'min':2002,'max':2007}}\n"", ""function name:combine\nbase_api: http://127.0.0.1:5200/combine\ndescription: Combines two data products into one based on provided columns types and values\nfilter_dict: [{'type': 'weather the values should be equal or not'}, {'columns': 'a list of columns based on which the data products should be combined'}, {'values': 'specific values used for the combination, if None the whole row is used'}]\n"", ""function name:max\nbase_api: http://127.0.0.1:5200/max\ndescription: Retrieves the maximum value for a list of specified columns in a dataframe\nfilter_dict: [{'columns': 'a list of columns for hich the maximum should be retrieved'}]\n"", ""function name:getNRows\nbase_api: http://127.0.0.1:5200/getNRows\ndescription: returns either the top or bottom N rows\nfilter_dict: [{'top': 'either True or False, if True return the top rows if False returns the bottom Rows'}, {'n': 'Number of rows to be returned'}]\n""]"
Amount of book sales per mall,function,,"[""function name:filter\ndescription: filters a data product based on the provided filterdict, it filters row wise keeping all input columns\n"",""function name:sum\ndescription: Calcuates the sum of a dataframe based on a list of group_by columns and\n""]","[“filter”,“sum”]",False,"The most fitting function for your problem is:

**Function Name:** sum  
**Description:** Calculates the sum of a dataframe based on a list of group_by columns and specified columns for which the sum should be calculated.  
**Filter Dict:** [{'group_by': 'a list of columns in the dataframe, can be None'}, {'columns': 'a list of columns for which the sum should be calculated, can't be None'}]","[""function name:retrieve\nbase_api: http://127.0.0.1:5200/retrieve\ndescription: retrieves the specified data product, takes the data products name and a list of requested columns as arguments\nfilter_dict: [{'product': 'api of the data product'}, {'columns': 'list of columns to retrieve'}]\n"", ""function name:max\nbase_api: http://127.0.0.1:5200/max\ndescription: Retrieves the maximum value for a list of specified columns in a dataframe\nfilter_dict: [{'columns': 'a list of columns for hich the maximum should be retrieved'}]\n"", ""function name:sum\nbase_api: http://127.0.0.1:5200/sum\ndescription: Calcuates the sum of a dataframe based on a list of group_by columns and\nfilter_dict: [{'group_by': 'a list of coulmns in the dataframe, can be None'}, {'columns': 'a list of columns for hicht the sum should be calculated, cant be None'}]\n"", ""function name:sortby\nbase_api: http://127.0.0.1:5200/sortby\ndescription: sorts the data based on a the provided columns and\nfilter_dict: [{'columns': 'a column on which the sorting is based on'}, {'ascending': 'True if the data is sorted ascending, False for descending'}]\n"", ""function name:combine\nbase_api: http://127.0.0.1:5200/combine\ndescription: Combines two data products into one based on provided columns types and values\nfilter_dict: [{'type': 'weather the values should be equal or not'}, {'columns': 'a list of columns based on which the data products should be combined'}, {'values': 'specific values used for the combination, if None the whole row is used'}]\n"", ""function name:getNRows\nbase_api: http://127.0.0.1:5200/getNRows\ndescription: returns either the top or bottom N rows\nfilter_dict: [{'top': 'either True or False, if True return the top rows if False returns the bottom Rows'}, {'n': 'Number of rows to be returned'}]\n""]"
"From the sales data I would like to know the total amount of money spent per category of available items, from Females over 38",function,,"[""function name:sum\ndescription: Calcuates the sum of a dataframe based on a list of group_by columns and\n"",""function name:filter\ndescription: filters a data product based on the provided filterdict, it filters row wise keeping all input columns\n]","[“sum”,“filter”]",False,"The most fitting function for your problem is:

**Function Name:** sum  
**Description:** Calculates the sum of a dataframe based on a list of group_by columns and specified columns for which the sum should be calculated. You can group by the category of items and specify the column that represents the amount spent, filtering the data for females over 38.  
**Filter_dict:** [{'group_by': 'category of items'}, {'columns': 'amount spent'}]","[""function name:sum\nbase_api: http://127.0.0.1:5200/sum\ndescription: Calcuates the sum of a dataframe based on a list of group_by columns and\nfilter_dict: [{'group_by': 'a list of coulmns in the dataframe, can be None'}, {'columns': 'a list of columns for hicht the sum should be calculated, cant be None'}]\n"", ""function name:retrieve\nbase_api: http://127.0.0.1:5200/retrieve\ndescription: retrieves the specified data product, takes the data products name and a list of requested columns as arguments\nfilter_dict: [{'product': 'api of the data product'}, {'columns': 'list of columns to retrieve'}]\n"", ""function name:getRows\nbase_api: http://127.0.0.1:5200/getRows\ndescription: Retrieves specififed data rows in a list format\nfilter_dict: [{'columns': 'a column on ihich to match'}, {'values': 'a dict ith a value to match if None returns the all columns from columns'}]\n"", ""function name:max\nbase_api: http://127.0.0.1:5200/max\ndescription: Retrieves the maximum value for a list of specified columns in a dataframe\nfilter_dict: [{'columns': 'a list of columns for hich the maximum should be retrieved'}]\n"", ""function name:combine\nbase_api: http://127.0.0.1:5200/combine\ndescription: Combines two data products into one based on provided columns types and values\nfilter_dict: [{'type': 'weather the values should be equal or not'}, {'columns': 'a list of columns based on which the data products should be combined'}, {'values': 'specific values used for the combination, if None the whole row is used'}]\n"", ""function name:getNRows\nbase_api: http://127.0.0.1:5200/getNRows\ndescription: returns either the top or bottom N rows\nfilter_dict: [{'top': 'either True or False, if True return the top rows if False returns the bottom Rows'}, {'n': 'Number of rows to be returned'}]\n""]"
All sales from customers who paind in cash,function,,"[""function name:filter\ndescription: filters a data product based on the provided filterdict, it filters row wise keeping all input columns\n""]",[“filter”],False,"The most fitting function for your problem is:

**Function Name:** getRows  
**Description:** Retrieves specified data rows in a list format.  
**Filter Dictionary:** [{'columns': 'a column on which to match'}, {'values': 'a dict with a value to match if None returns all columns from columns'}]  

This function can be used to filter sales data based on the payment method (cash).","[""function name:max\nbase_api: http://127.0.0.1:5200/max\ndescription: Retrieves the maximum value for a list of specified columns in a dataframe\nfilter_dict: [{'columns': 'a list of columns for hich the maximum should be retrieved'}]\n"", ""function name:getRows\nbase_api: http://127.0.0.1:5200/getRows\ndescription: Retrieves specififed data rows in a list format\nfilter_dict: [{'columns': 'a column on ihich to match'}, {'values': 'a dict ith a value to match if None returns the all columns from columns'}]\n"", ""function name:sum\nbase_api: http://127.0.0.1:5200/sum\ndescription: Calcuates the sum of a dataframe based on a list of group_by columns and\nfilter_dict: [{'group_by': 'a list of coulmns in the dataframe, can be None'}, {'columns': 'a list of columns for hicht the sum should be calculated, cant be None'}]\n"", ""function name:sortby\nbase_api: http://127.0.0.1:5200/sortby\ndescription: sorts the data based on a the provided columns and\nfilter_dict: [{'columns': 'a column on which the sorting is based on'}, {'ascending': 'True if the data is sorted ascending, False for descending'}]\n"", ""function name:combine\nbase_api: http://127.0.0.1:5200/combine\ndescription: Combines two data products into one based on provided columns types and values\nfilter_dict: [{'type': 'weather the values should be equal or not'}, {'columns': 'a list of columns based on which the data products should be combined'}, {'values': 'specific values used for the combination, if None the whole row is used'}]\n"", ""function name:retrieve\nbase_api: http://127.0.0.1:5200/retrieve\ndescription: retrieves the specified data product, takes the data products name and a list of requested columns as arguments\nfilter_dict: [{'product': 'api of the data product'}, {'columns': 'list of columns to retrieve'}]\n"", ""function name:getNRows\nbase_api: http://127.0.0.1:5200/getNRows\ndescription: returns either the top or bottom N rows\nfilter_dict: [{'top': 'either True or False, if True return the top rows if False returns the bottom Rows'}, {'n': 'Number of rows to be returned'}]\n""]"
All customer data of customers who shopped in the mall with the highest turnover,function,,"[""function name:filter\ndescription: filters a data product based on the provided filterdict, it filters row wise keeping all input columns\n""]",[“filter”],False,"The most fitting function for your problem is:

**Function Name:** retrieve  
**Description:** Retrieves the specified data product, takes the data product's name and a list of requested columns as arguments.  
**Filter_dict:** [{'product': 'api of the data product'}, {'columns': 'list of columns to retrieve'}]  

This function allows you to retrieve all customer data related to the specific data product that contains information about customers who shopped in the mall with the highest turnover.","[""function name:retrieve\nbase_api: http://127.0.0.1:5200/retrieve\ndescription: retrieves the specified data product, takes the data products name and a list of requested columns as arguments\nfilter_dict: [{'product': 'api of the data product'}, {'columns': 'list of columns to retrieve'}]\n"", ""function name:sum\nbase_api: http://127.0.0.1:5200/sum\ndescription: Calcuates the sum of a dataframe based on a list of group_by columns and\nfilter_dict: [{'group_by': 'a list of coulmns in the dataframe, can be None'}, {'columns': 'a list of columns for hicht the sum should be calculated, cant be None'}]\n"", ""function name:sortby\nbase_api: http://127.0.0.1:5200/sortby\ndescription: sorts the data based on a the provided columns and\nfilter_dict: [{'columns': 'a column on which the sorting is based on'}, {'ascending': 'True if the data is sorted ascending, False for descending'}]\n"", ""function name:max\nbase_api: http://127.0.0.1:5200/max\ndescription: Retrieves the maximum value for a list of specified columns in a dataframe\nfilter_dict: [{'columns': 'a list of columns for hich the maximum should be retrieved'}]\n"", ""function name:getNRows\nbase_api: http://127.0.0.1:5200/getNRows\ndescription: returns either the top or bottom N rows\nfilter_dict: [{'top': 'either True or False, if True return the top rows if False returns the bottom Rows'}, {'n': 'Number of rows to be returned'}]\n""]"
The capital good consumer prices for 2024,function,,,,True,[''],['']
Durabale goods consumer prices for Austria,function,,,,True,[''],['']
capital and durable goods prices for Germany,function,,,,True,[''],['']
