id,artist,asciiName,availability,borderColor,cardKingdomFoilId,cardKingdomId,colorIdentity,colorIndicator,colors,convertedManaCost,duelDeck,edhrecRank,faceConvertedManaCost,faceName,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isOnlineOnly,isOversized,isPromo,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,layout,leadershipSkills,life,loyalty,manaCost,mcmId,mcmMetaId,mtgArenaId,mtgjsonV4Id,mtgoFoilId,mtgoId,multiverseId,name,number,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,purchaseUrls,rarity,scryfallId,scryfallIllustrationId,scryfallOracleId,setCode,side,subtypes,supertypes,tcgplayerProductId,text,toughness,type,types,uuid,variations,watermark
1153,Eric Velhagen,,"mtgo,paper",borderless,236399.0,236039.0,B,,B,1.0,,2899.0,,,,,,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,Revolt,normal,,,,{B},486914.0,224311.0,,2f3c4d0a-2488-5bf2-af87-b00c273b80e6,,,491352.0,Fatal Push,343,,"Destroy target creature if it has converted mana cost 2 or less.
Revolt — Destroy that creature if it has converted mana cost 4 or less instead if a permanent you controlled left the battlefield this turn.",Instant,,,"2XM,AER,F17,KLR,MB1,PRM,SLD","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/7bbf6cacaac3016e', 'cardKingdomFoil': 'https://mtgjson.com/links/6d7083bc581e97a0', 'cardmarket': 'https://mtgjson.com/links/49b7ba5f14987e5a', 'tcgplayer': 'https://mtgjson.com/links/78b28fd3a748533e'}",rare,b9a50516-a20f-4e6e-b4f2-0049b673f942,aef58513-9a6f-4fc9-9ec3-1478395fcada,16437a83-be52-44cd-a768-a767c9347eb2,2XM,,,,218831.0,"Destroy target creature if it has converted mana cost 2 or less.
Revolt — Destroy that creature if it has converted mana cost 4 or less instead if a permanent you controlled left the battlefield this turn.",,Instant,Instant,1ead4754-36eb-5463-bf63-c1fe672bc3ef,ff508c3b-070d-5977-8bd8-ff2ef435e779,
1154,Chuck Lukacs,,"mtgo,paper",borderless,236410.0,236180.0,B,,B,1.0,,2621.0,,,,"The mind is a fragile thing. Remove the smallest fragment, and the whole thing starts to fall apart.",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{B},486049.0,9257.0,,c23a3dee-6bc2-5f8c-b39d-3e15f3a87c1d,,,491353.0,Thoughtseize,344,,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,Sorcery,,,"2XM,AKR,IMA,LRW,MP2,THS","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/5e09d8e6fa0c13b6', 'cardKingdomFoil': 'https://mtgjson.com/links/858863e9a6661dc4', 'cardmarket': 'https://mtgjson.com/links/af02640e817866a4', 'tcgplayer': 'https://mtgjson.com/links/3da182cf266af66b'}",rare,95702503-8f2d-46c8-abdb-6edd6c431d19,500e58af-f0c6-4f62-8585-f47318c8c1d2,edd8d1e8-be43-4c38-bb3a-83081fbaf0b5,2XM,,,,218935.0,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,,Sorcery,Sorcery,88400e06-e77c-55b6-bb5f-6809663e6824,8e8097bd-ccd9-5f97-b9c2-0c8ee324accc,
1155,Richard Kane Ferguson,,"mtgo,paper",borderless,236414.0,236216.0,B,,B,3.0,,122.0,,,,Armor dissolved into flesh. Flesh melted to bone. Bone fell away to nothing.,,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{2}{B},486919.0,208893.0,,b68696cb-5a44-56a9-82b3-043b4e964654,,,491354.0,Toxic Deluge,345,,"As an additional cost to cast this spell, pay X life.
All creatures get -X/-X until end of turn.",Sorcery,,,"2XM,C13,EMA,PZ1","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/7bcff46d562958b1', 'cardKingdomFoil': 'https://mtgjson.com/links/3443375b08bbe068', 'cardmarket': 'https://mtgjson.com/links/502ad8b193aba15b', 'tcgplayer': 'https://mtgjson.com/links/4d5e9a68734eee7a'}",rare,73731e45-51bb-4188-a54d-fdaa4bdfaf1f,8229ce03-1754-467c-a244-4ddc58048222,afaef788-34d1-460b-b884-9d7ae6ddeb18,2XM,,,,219499.0,"As an additional cost to cast this spell, pay X life.
All creatures get -X/-X until end of turn.",,Sorcery,Sorcery,8df896f3-ae43-5c65-9504-270cd5093aca,d5783732-6927-5fed-b498-ce1b9a5402ab,
1156,Jim Pavelec,,"mtgo,paper",borderless,236404.0,236150.0,R,,R,3.0,,690.0,,,,"Bathed in deep crimson, the land that once gave comfort and shelter now yielded nothing but hostility.",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{2}{R},485934.0,599.0,,c1fc3b12-086c-5d14-97b5-12d8e90a253b,,,491355.0,Blood Moon,346,,Nonbasic lands are Mountains.,Enchantment,,,"2XM,8ED,9ED,A25,CHR,DRK,MM3,MMA,MP2","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/975985e102772343', 'cardKingdomFoil': 'https://mtgjson.com/links/c143f09b0056bbe0', 'cardmarket': 'https://mtgjson.com/links/a4e15f61eba2257c', 'tcgplayer': 'https://mtgjson.com/links/7a3fe74207d6e6db'}",rare,d35575d0-0b10-4d1b-b5a2-a9f36f9eada4,c1790131-8dff-4579-8ae3-023eb4d07de7,94fac5fe-97d5-4c12-a80c-8efff9d853ae,2XM,,,,218849.0,Nonbasic lands are Mountains.,,Enchantment,Enchantment,d765f102-5ce7-5add-9841-55ade11b3c42,774de3b7-06ad-517d-b5fa-1210429183a2,
1157,Mark Zug,,"mtgo,paper",borderless,236405.0,236151.0,R,,R,1.0,,8418.0,,,,"When the landmarks themselves get up and move, goblin intuition beats any map.",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,Haste,normal,,,,{R},485924.0,10755.0,,69f86479-694a-5937-8aef-71d13a0d4825,,,491356.0,Goblin Guide,347,,"Haste
Whenever Goblin Guide attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand.",Creature — Goblin Scout,,2,"2XM,MM3,PGPX,PRM,TD0,ZEN","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/542a9563d80e582d', 'cardKingdomFoil': 'https://mtgjson.com/links/3ec25be69a3d8b85', 'cardmarket': 'https://mtgjson.com/links/4ad4c72af939be82', 'tcgplayer': 'https://mtgjson.com/links/fd151cae3e63d9f4'}",rare,62d2058c-3f20-4566-b366-93a2cbbe682f,cb37463f-b2d1-4fb2-9e01-fb81c087485f,51d9564b-44fc-4de1-9119-09d7b4089378,2XM,,"Goblin,Scout",,218847.0,"Haste
Whenever Goblin Guide attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand.",2,Creature — Goblin Scout,Creature,eac74bc2-9497-501f-b44f-ac876eecc7ea,1609c919-63d6-5487-9589-871b9753a26b,
1158,Mark Zug,,"mtgo,paper",borderless,236392.0,236032.0,R,,R,4.0,,2056.0,,,,"""Keep watch? Why? Nothing going to mess with us. We too big and scary.""",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{3}{R},482814.0,5343.0,,cfada1f2-cef0-540b-bc6e-30eca2e9f126,,,491357.0,Sneak Attack,348,,{R}: You may put a creature card from your hand onto the battlefield. That creature gains haste. Sacrifice the creature at the beginning of the next end step.,Enchantment,,,"2XM,EMA,J12,USG","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/569c8b30c28f2234', 'cardKingdomFoil': 'https://mtgjson.com/links/bd66db1226cf5e3b', 'cardmarket': 'https://mtgjson.com/links/3ac359b65e76f46e', 'tcgplayer': 'https://mtgjson.com/links/133553ca9dda501a'}",mythic,5b8c11ba-533d-48c9-821c-3fec846bca97,932b487e-792f-489a-a762-6e01803dd386,e7aee670-e6ac-4b3a-b3d1-7b7013db8f3d,2XM,,,,218330.0,{R}: You may put a creature card from your hand onto the battlefield. That creature gains haste. Sacrifice the creature at the beginning of the next end step.,,Enchantment,Enchantment,c2d44d80-704b-5776-9629-738d1f1519c2,3556c2f3-d271-566e-8289-25f0838081da,
1159,Mark Poole,,"mtgo,paper",borderless,236394.0,236034.0,G,,G,1.0,,201.0,,,,"""The end of my cycle draws near. Rise up, young sprouts, and take root in my place.""",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{G},483944.0,1200.0,,dfd3e699-808e-5d31-8fad-fb0ee134bf6d,,,491358.0,Crop Rotation,349,,"As an additional cost to cast this spell, sacrifice a land.
Search your library for a land card, put that card onto the battlefield, then shuffle your library.",Instant,,,"2XM,C20,DDR,MB1,PMEI,PRM,ULG","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/1c2675fd1b05897d', 'cardKingdomFoil': 'https://mtgjson.com/links/d579f10992c4daf7', 'cardmarket': 'https://mtgjson.com/links/a3cb9fbb0549129f', 'tcgplayer': 'https://mtgjson.com/links/a47a697498f61ce4'}",rare,187abedf-c2eb-453b-bea0-a10afa399e03,666ac542-49b4-4f3c-af85-7fdce2a84596,28b46183-c62f-47b1-9fee-3ba148202cab,2XM,,,,218449.0,"As an additional cost to cast this spell, sacrifice a land.
Search your library for a land card, put that card onto the battlefield, then shuffle your library.",,Instant,Instant,4b41a542-1730-55fc-a409-e8fb5c116a63,d3ac0d6c-7128-500b-acec-0c0d33b0afe9,
1160,Ron Spencer,,"mtgo,paper",borderless,236375.0,235959.0,G,,G,5.0,,350.0,,,,,,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{4}{G},462599.0,7941.0,,4a05e364-4e5e-5142-9126-752e2f349191,,,491359.0,Doubling Season,350,,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.
If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instea",Enchantment,,,"2XM,BBD,G11,MMA,RAV","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/2296082d3e098f31', 'cardKingdomFoil': 'https://mtgjson.com/links/e4646ed6779c4444', 'cardmarket': 'https://mtgjson.com/links/69e87690db0ff84e', 'tcgplayer': 'https://mtgjson.com/links/df4039ea1215c9ce'}",mythic,20c9c856-af15-40b1-a799-1c2066df2099,f1f6ff09-06b3-4ce8-979b-c9df0985bd42,01546b7d-a233-4176-8843-d732074dc5b6,2XM,,,,214842.0,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.
If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instea",,Enchantment,Enchantment,f2bfda59-3560-55a7-80a1-9d19f1a1d163,07daf4eb-fba7-560e-b70b-56ee686724e6,
1161,Mark Poole,,"mtgo,paper",borderless,236387.0,236005.0,G,,G,1.0,,324.0,,,,"With every step she took, a new world unfolded before her.",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,,normal,,,,{G},482824.0,1907.0,,dc3e7902-beb6-5f63-9aa7-e11b321db742,,,491360.0,Exploration,351,,You may play an additional land on each of your turns.,Enchantment,,,"2XM,CNS,PRM,USG","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/3134c8a90982934f', 'cardKingdomFoil': 'https://mtgjson.com/links/2d7b7484c7507392', 'cardmarket': 'https://mtgjson.com/links/5bdf10ecaf9ab287', 'tcgplayer': 'https://mtgjson.com/links/c01cd374ab58f22d'}",rare,1c3fc61c-c26e-47f3-a1eb-f6f10f8469e2,41ba5428-6632-40a2-ab32-23369e9fdcac,0c2841bb-038c-4fbf-8360-bc0a1522b58d,2XM,,,,218388.0,You may play an additional land on each of your turns.,,Enchantment,Enchantment,08b103c0-7f31-539a-a600-2cc4665fee55,76a56b00-4e84-589b-9d43-5ca5be70cb9c,
1162,Greg Staples,,"mtgo,paper",borderless,236391.0,236031.0,"G,U,W",,G,1.0,,873.0,,,,"In all her years of vigil, her resolve has never faltered.",,2015,,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,Exalted,normal,,,,{G},483184.0,10355.0,,54fb1f3f-931a-5243-ba66-082441efde31,,,491361.0,Noble Hierarch,352,,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{T}: Add {G}, {W}, or {U}.",Creature — Human Druid,,0,"2XM,CON,J12,MM2,PPRO,PRM,PUMA,UMA","boxtopper,boosterfun","{'cardKingdom': 'https://mtgjson.com/links/75a8d027b9a5c219', 'cardKingdomFoil': 'https://mtgjson.com/links/f0ec71843abb250a', 'cardmarket': 'https://mtgjson.com/links/84ced362ad57a9c2', 'tcgplayer': 'https://mtgjson.com/links/133baf2347fb8799'}",rare,8008977f-b164-4ab7-a38a-25b382c6a16f,9844cb57-fee9-45cd-ad80-a820b9d9f2b7,98aa9424-5912-4bd6-9300-b3972a31d8af,2XM,,"Human,Druid",,218374.0,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{T}: Add {G}, {W}, or {U}.",1,Creature — Human Druid,Creature,9533d949-e6d4-571f-a3fa-1c347f49045b,df4a0c0d-9e09-5de4-a16a-274509fa3cb4,
