atom_id,molecule_id,element,atom_id2,bond_id,bond_type
TR048_2,TR048,n,TR048_1,TR048_1_2,-
TR048_2,TR048,n,TR048_10,TR048_2_10,-
TR048_2,TR048,n,TR048_11,TR048_2_11,-
TR048_6,TR048,n,TR048_5,TR048_5_6,-
TR048_6,TR048,n,TR048_7,TR048_6_7,=
TR048_9,TR048,n,TR048_4,TR048_4_9,-
TR048_9,TR048,n,TR048_8,TR048_8_9,=
TR049_1,TR049,n,TR049_2,TR049_1_2,-
TR049_1,TR049,n,TR049_24,TR049_1_24,-
TR049_1,TR049,n,TR049_3,TR049_1_3,-
TR050_15,TR050,n,TR050_14,TR050_14_15,-
TR050_15,TR050,n,TR050_17,TR050_15_17,-
TR050_15,TR050,n,TR050_31,TR050_15_31,-
TR050_8,TR050,n,TR050_7,TR050_7_8,-
TR050_8,TR050,n,TR050_14,TR050_8_14,-
TR050_8,TR050,n,TR050_27,TR050_8_27,-
TR051_13,TR051,n,TR051_15,TR051_13_15,-
TR051_13,TR051,n,TR051_16,TR051_13_16,-
TR051_13,TR051,n,TR051_9,TR051_9_13,-
TR051_2,TR051,n,TR051_1,TR051_1_2,-
TR051_2,TR051,n,TR051_22,TR051_2_22,-
TR051_2,TR051,n,TR051_6,TR051_2_6,-
TR051_9,TR051,n,TR051_6,TR051_6_9,-
TR051_9,TR051,n,TR051_13,TR051_9_13,-
TR051_9,TR051,n,TR051_25,TR051_9_25,-
TR053_1,TR053,n,TR053_2,TR053_1_2,-
TR053_1,TR053,n,TR053_3,TR053_1_3,=
TR053_1,TR053,n,TR053_4,TR053_1_4,-
TR053_8,TR053,n,TR053_6,TR053_6_8,-
TR053_8,TR053,n,TR053_7,TR053_7_8,=
TR053_9,TR053,n,TR053_7,TR053_7_9,-
TR053_9,TR053,n,TR053_11,TR053_9_11,-
TR053_9,TR053,n,TR053_12,TR053_9_12,-
TR054_1,TR054,n,TR054_2,TR054_1_2,-
TR054_1,TR054,n,TR054_3,TR054_1_3,=
TR054_1,TR054,n,TR054_4,TR054_1_4,-
TR054_10,TR054,n,TR054_12,TR054_10_12,=
TR054_10,TR054,n,TR054_13,TR054_10_13,-
TR054_10,TR054,n,TR054_7,TR054_7_10,-
TR056_1,TR056,n,TR056_17,TR056_1_17,-
TR056_1,TR056,n,TR056_2,TR056_1_2,-
TR056_1,TR056,n,TR056_3,TR056_1_3,-
TR056_4,TR056,n,TR056_2,TR056_2_4,-
TR056_4,TR056,n,TR056_19,TR056_4_19,-
TR056_4,TR056,n,TR056_8,TR056_4_8,-
TR058_1,TR058,p,TR058_2,TR058_1_2,-
TR058_1,TR058,p,TR058_3,TR058_1_3,-
TR058_1,TR058,p,TR058_4,TR058_1_4,-
TR058_1,TR058,p,TR058_5,TR058_1_5,-
TR058_3,TR058,n,TR058_1,TR058_1_3,-
TR058_3,TR058,n,TR058_6,TR058_3_6,-
TR058_3,TR058,n,TR058_7,TR058_3_7,-
TR058_4,TR058,n,TR058_1,TR058_1_4,-
TR058_4,TR058,n,TR058_8,TR058_4_8,-
TR058_4,TR058,n,TR058_9,TR058_4_9,-
TR058_5,TR058,n,TR058_1,TR058_1_5,-
TR058_5,TR058,n,TR058_10,TR058_5_10,-
TR058_5,TR058,n,TR058_11,TR058_5_11,-
TR059_10,TR059,n,TR059_14,TR059_10_14,-
TR059_10,TR059,n,TR059_15,TR059_10_15,-
TR059_10,TR059,n,TR059_9,TR059_9_10,-
TR059_26,TR059,n,TR059_25,TR059_25_26,-
TR059_26,TR059,n,TR059_27,TR059_26_27,-
TR059_26,TR059,n,TR059_28,TR059_26_28,-
TR060_38,TR060,n,TR060_35,TR060_35_38,-
TR060_38,TR060,n,TR060_39,TR060_38_39,-
TR060_38,TR060,n,TR060_40,TR060_38_40,-
TR061_1,TR061,n,TR061_2,TR061_1_2,-
TR061_1,TR061,n,TR061_3,TR061_1_3,=
TR061_1,TR061,n,TR061_9,TR061_1_9,-
TR063_1,TR063,n,TR063_10,TR063_1_10,-
TR063_1,TR063,n,TR063_11,TR063_1_11,-
TR063_1,TR063,n,TR063_2,TR063_1_2,-
TR063_5,TR063,n,TR063_3,TR063_3_5,-
TR063_5,TR063,n,TR063_13,TR063_5_13,-
TR063_5,TR063,n,TR063_14,TR063_5_14,-
TR064_1,TR064,n,TR064_2,TR064_1_2,-
TR064_1,TR064,n,TR064_3,TR064_1_3,=
TR064_1,TR064,n,TR064_4,TR064_1_4,-
TR071_10,TR071,n,TR071_11,TR071_10_11,-
TR071_10,TR071,n,TR071_22,TR071_10_22,-
TR071_10,TR071,n,TR071_9,TR071_9_10,-
TR071_6,TR071,n,TR071_3,TR071_3_6,-
TR071_6,TR071,n,TR071_20,TR071_6_20,-
TR071_6,TR071,n,TR071_21,TR071_6_21,-
TR072_2,TR072,n,TR072_1,TR072_1_2,-
TR072_2,TR072,n,TR072_4,TR072_2_4,-
TR072_2,TR072,n,TR072_5,TR072_2_5,-
TR076_1,TR076,p,TR076_2,TR076_1_2,-
TR076_1,TR076,p,TR076_3,TR076_1_3,-
TR076_1,TR076,p,TR076_4,TR076_1_4,-
TR076_1,TR076,p,TR076_5,TR076_1_5,-
TR077_10,TR077,n,TR077_6,TR077_6_10,=
TR077_10,TR077,n,TR077_8,TR077_8_10,-
TR077_13,TR077,n,TR077_27,TR077_13_27,-
TR077_13,TR077,n,TR077_28,TR077_13_28,-
TR077_13,TR077,n,TR077_8,TR077_8_13,-
TR077_5,TR077,n,TR077_3,TR077_3_5,-
TR077_5,TR077,n,TR077_8,TR077_5_8,=
TR077_9,TR077,n,TR077_6,TR077_6_9,-
TR077_9,TR077,n,TR077_23,TR077_9_23,-
TR077_9,TR077,n,TR077_24,TR077_9_24,-
TR078_15,TR078,n,TR078_10,TR078_10_15,-
TR078_15,TR078,n,TR078_11,TR078_11_15,-
TR078_15,TR078,n,TR078_34,TR078_15_34,-
TR078_18,TR078,n,TR078_12,TR078_12_18,-
TR078_18,TR078,n,TR078_13,TR078_13_18,-
TR078_18,TR078,n,TR078_35,TR078_18_35,-
TR078_3,TR078,n,TR078_1,TR078_1_3,-
TR078_3,TR078,n,TR078_6,TR078_3_6,-
TR078_3,TR078,n,TR078_7,TR078_3_7,-
TR078_5,TR078,n,TR078_2,TR078_2_5,-
TR078_5,TR078,n,TR078_8,TR078_5_8,-
TR078_5,TR078,n,TR078_9,TR078_5_9,-
TR081_1,TR081,p,TR081_2,TR081_1_2,-
TR081_1,TR081,p,TR081_3,TR081_1_3,-
TR081_1,TR081,p,TR081_4,TR081_1_4,-
TR081_1,TR081,p,TR081_5,TR081_1_5,-
TR082_1,TR082,n,TR082_15,TR082_1_15,-
TR082_1,TR082,n,TR082_2,TR082_1_2,-
TR082_1,TR082,n,TR082_3,TR082_1_3,-
TR082_14,TR082,n,TR082_12,TR082_12_14,-
TR082_14,TR082,n,TR082_25,TR082_14_25,-
TR082_14,TR082,n,TR082_26,TR082_14_26,-
TR083_2,TR083,n,TR083_1,TR083_1_2,-
TR083_2,TR083,n,TR083_3,TR083_2_3,-
TR083_2,TR083,n,TR083_4,TR083_2_4,-
TR083_4,TR083,n,TR083_2,TR083_2_4,-
TR083_4,TR083,n,TR083_18,TR083_4_18,-
TR083_4,TR083,n,TR083_5,TR083_4_5,-
TR084_10,TR084,n,TR084_19,TR084_10_19,-
TR084_10,TR084,n,TR084_20,TR084_10_20,-
TR084_10,TR084,n,TR084_6,TR084_6_10,-
TR084_9,TR084,n,TR084_4,TR084_4_9,-
TR084_9,TR084,n,TR084_17,TR084_9_17,-
TR084_9,TR084,n,TR084_18,TR084_9_18,-
TR085_8,TR085,n,TR085_4,TR085_4_8,-
TR085_8,TR085,n,TR085_13,TR085_8_13,-
TR085_8,TR085,n,TR085_14,TR085_8_14,-
TR085_9,TR085,n,TR085_6,TR085_6_9,-
TR085_9,TR085,n,TR085_15,TR085_9_15,-
TR085_9,TR085,n,TR085_16,TR085_9_16,-
TR089_7,TR089,n,TR089_6,TR089_6_7,-
TR089_7,TR089,n,TR089_14,TR089_7_14,-
TR089_7,TR089,n,TR089_15,TR089_7_15,-
TR091_11,TR091,n,TR091_12,TR091_11_12,-
TR091_11,TR091,n,TR091_26,TR091_11_26,-
TR091_11,TR091,n,TR091_9,TR091_9_11,-
TR091_19,TR091,n,TR091_15,TR091_15_19,-
TR091_19,TR091,n,TR091_20,TR091_19_20,-
TR091_19,TR091,n,TR091_21,TR091_19_21,=
TR092_1,TR092,n,TR092_15,TR092_1_15,-
TR092_1,TR092,n,TR092_2,TR092_1_2,-
TR092_1,TR092,n,TR092_3,TR092_1_3,-
TR092_2,TR092,n,TR092_1,TR092_1_2,-
TR092_2,TR092,n,TR092_16,TR092_2_16,-
TR092_2,TR092,n,TR092_4,TR092_2_4,-
TR093_16,TR093,n,TR093_15,TR093_15_16,-
TR093_16,TR093,n,TR093_29,TR093_16_29,-
TR093_16,TR093,n,TR093_30,TR093_16_30,-
TR093_3,TR093,n,TR093_1,TR093_1_3,-
TR093_3,TR093,n,TR093_4,TR093_3_4,-
TR093_3,TR093,n,TR093_5,TR093_3_5,-
TR094_8,TR094,n,TR094_3,TR094_3_8,-
TR094_8,TR094,n,TR094_16,TR094_8_16,-
TR094_8,TR094,n,TR094_17,TR094_8_17,-
TR094_9,TR094,n,TR094_5,TR094_5_9,-
TR094_9,TR094,n,TR094_10,TR094_9_10,=
TR094_9,TR094,n,TR094_11,TR094_9_11,-
TR095_5,TR095,n,TR095_4,TR095_4_5,-
TR095_5,TR095,n,TR095_6,TR095_5_6,=
TR096_14,TR096,p,TR096_13,TR096_13_14,-
TR096_14,TR096,p,TR096_15,TR096_14_15,-
TR096_14,TR096,p,TR096_16,TR096_14_16,-
TR096_14,TR096,p,TR096_17,TR096_14_17,-
TR099_1,TR099,n,TR099_2,TR099_1_2,=
TR099_1,TR099,n,TR099_3,TR099_1_3,-
TR099_10,TR099,n,TR099_14,TR099_10_14,=
TR099_10,TR099,n,TR099_5,TR099_5_10,-
TR099_16,TR099,n,TR099_14,TR099_14_16,-
TR099_16,TR099,n,TR099_26,TR099_16_26,-
TR099_16,TR099,n,TR099_27,TR099_16_27,-
TR099_2,TR099,n,TR099_1,TR099_1_2,=
TR099_2,TR099,n,TR099_4,TR099_2_4,-
TR099_9,TR099,n,TR099_5,TR099_5_9,-
TR099_9,TR099,n,TR099_20,TR099_9_20,-
TR099_9,TR099,n,TR099_21,TR099_9_21,-
TR100_16,TR100,n,TR100_17,TR100_16_17,-
TR100_16,TR100,n,TR100_18,TR100_16_18,-
TR100_16,TR100,n,TR100_19,TR100_16_19,-
TR100_16,TR100,n,TR100_20,TR100_16_20,-
TR100_7,TR100,n,TR100_5,TR100_5_7,-
TR100_7,TR100,n,TR100_10,TR100_7_10,-
TR100_7,TR100,n,TR100_8,TR100_7_8,-
TR100_8,TR100,n,TR100_7,TR100_7_8,-
TR100_8,TR100,n,TR100_9,TR100_8_9,=
TR101_10,TR101,n,TR101_11,TR101_10_11,=
TR101_10,TR101,n,TR101_3,TR101_3_10,-
TR101_11,TR101,n,TR101_10,TR101_10_11,=
TR101_11,TR101,n,TR101_12,TR101_11_12,-
TR101_8,TR101,n,TR101_6,TR101_6_8,-
TR101_8,TR101,n,TR101_7,TR101_7_8,-
TR101_8,TR101,n,TR101_9,TR101_8_9,-
TR103_2,TR103,p,TR103_1,TR103_1_2,-
TR103_2,TR103,p,TR103_3,TR103_2_3,-
TR103_2,TR103,p,TR103_4,TR103_2_4,-
TR103_2,TR103,p,TR103_5,TR103_2_5,-
TR104_1,TR104,n,TR104_17,TR104_1_17,-
TR104_1,TR104,n,TR104_2,TR104_1_2,-
TR104_1,TR104,n,TR104_3,TR104_1_3,-
TR104_12,TR104,n,TR104_8,TR104_8_12,=
TR104_12,TR104,n,TR104_9,TR104_9_12,-
TR104_4,TR104,n,TR104_2,TR104_2_4,=
TR104_4,TR104,n,TR104_8,TR104_4_8,-
TR104_5,TR104,n,TR104_2,TR104_2_5,-
TR104_5,TR104,n,TR104_9,TR104_5_9,=
TR105_10,TR105,n,TR105_20,TR105_10_20,-
TR105_10,TR105,n,TR105_21,TR105_10_21,-
TR105_10,TR105,n,TR105_9,TR105_9_10,-
TR107_1,TR107,n,TR107_2,TR107_1_2,-
TR107_1,TR107,n,TR107_3,TR107_1_3,=
TR107_1,TR107,n,TR107_4,TR107_1_4,-
TR107_9,TR107,n,TR107_7,TR107_7_9,-
TR107_9,TR107,n,TR107_15,TR107_9_15,-
TR107_9,TR107,n,TR107_16,TR107_9_16,-
TR109_1,TR109,n,TR109_2,TR109_1_2,-
TR109_1,TR109,n,TR109_3,TR109_1_3,=
TR109_1,TR109,n,TR109_4,TR109_1_4,-
TR109_9,TR109,n,TR109_7,TR109_7_9,-
TR109_9,TR109,n,TR109_17,TR109_9_17,-
TR109_9,TR109,n,TR109_18,TR109_9_18,-
TR111_11,TR111,n,TR111_21,TR111_11_21,-
TR111_11,TR111,n,TR111_22,TR111_11_22,-
TR111_11,TR111,n,TR111_6,TR111_6_11,-
TR112_11,TR112,n,TR112_22,TR112_11_22,-
TR112_11,TR112,n,TR112_23,TR112_11_23,-
TR112_11,TR112,n,TR112_1,TR112_1_11,-
TR112_7,TR112,n,TR112_5,TR112_5_7,-
TR112_7,TR112,n,TR112_18,TR112_7_18,-
TR112_7,TR112,n,TR112_8,TR112_7_8,-
TR113_7,TR113,n,TR113_6,TR113_6_7,-
TR113_7,TR113,n,TR113_13,TR113_7_13,-
TR113_7,TR113,n,TR113_14,TR113_7_14,-
TR113_8,TR113,n,TR113_3,TR113_3_8,-
TR113_8,TR113,n,TR113_15,TR113_8_15,-
TR113_8,TR113,n,TR113_16,TR113_8_16,-
TR114_1,TR114,n,TR114_2,TR114_1_2,-
TR114_1,TR114,n,TR114_3,TR114_1_3,=
TR114_1,TR114,n,TR114_4,TR114_1_4,-
TR115_1,TR115,n,TR115_2,TR115_1_2,-
TR115_1,TR115,n,TR115_3,TR115_1_3,-
TR115_1,TR115,n,TR115_4,TR115_1_4,-
TR117_1,TR117,n,TR117_2,TR117_1_2,-
TR117_1,TR117,n,TR117_3,TR117_1_3,=
TR117_1,TR117,n,TR117_4,TR117_1_4,-
TR117_10,TR117,n,TR117_12,TR117_10_12,-
TR117_10,TR117,n,TR117_16,TR117_10_16,-
TR117_10,TR117,n,TR117_7,TR117_7_10,-
TR117_11,TR117,n,TR117_12,TR117_11_12,=
TR117_11,TR117,n,TR117_9,TR117_9_11,-
TR118_1,TR118,n,TR118_2,TR118_1_2,-
TR118_1,TR118,n,TR118_3,TR118_1_3,=
TR118_1,TR118,n,TR118_4,TR118_1_4,-
TR125_10,TR125,p,TR125_12,TR125_10_12,-
TR125_10,TR125,p,TR125_19,TR125_10_19,-
TR125_10,TR125,p,TR125_20,TR125_10_20,-
TR125_10,TR125,p,TR125_8,TR125_8_10,-
TR125_9,TR125,p,TR125_7,TR125_7_9,-
TR125_9,TR125,p,TR125_11,TR125_9_11,-
TR125_9,TR125,p,TR125_13,TR125_9_13,-
TR125_9,TR125,p,TR125_14,TR125_9_14,-
TR126_7,TR126,n,TR126_6,TR126_6_7,-
TR126_7,TR126,n,TR126_13,TR126_7_13,-
TR126_7,TR126,n,TR126_14,TR126_7_14,-
TR126_9,TR126,n,TR126_3,TR126_3_9,-
TR126_9,TR126,n,TR126_18,TR126_9_18,-
TR126_9,TR126,n,TR126_19,TR126_9_19,-
TR127_10,TR127,n,TR127_11,TR127_10_11,=
TR127_10,TR127,n,TR127_12,TR127_10_12,-
TR127_10,TR127,n,TR127_2,TR127_2_10,-
TR127_7,TR127,n,TR127_6,TR127_6_7,-
TR127_7,TR127,n,TR127_16,TR127_7_16,-
TR127_7,TR127,n,TR127_17,TR127_7_17,-
TR128_15,TR128,n,TR128_16,TR128_15_16,=
TR128_15,TR128,n,TR128_5,TR128_5_15,-
TR128_18,TR128,n,TR128_10,TR128_10_18,-
TR128_18,TR128,n,TR128_19,TR128_18_19,=
TR129_2,TR129,n,TR129_1,TR129_1_2,-
TR129_2,TR129,n,TR129_5,TR129_2_5,-
TR129_2,TR129,n,TR129_6,TR129_2_6,-
TR129_3,TR129,n,TR129_1,TR129_1_3,-
TR129_3,TR129,n,TR129_7,TR129_3_7,-
TR129_3,TR129,n,TR129_8,TR129_3_8,-
TR130_7,TR130,n,TR130_6,TR130_6_7,-
TR130_7,TR130,n,TR130_13,TR130_7_13,-
TR130_7,TR130,n,TR130_14,TR130_7_14,-
TR132_1,TR132,n,TR132_2,TR132_1_2,-
TR132_1,TR132,n,TR132_3,TR132_1_3,-
TR132_1,TR132,n,TR132_9,TR132_1_9,-
TR132_2,TR132,n,TR132_1,TR132_1_2,-
TR132_2,TR132,n,TR132_10,TR132_2_10,-
TR132_2,TR132,n,TR132_4,TR132_2_4,-
TR132_5,TR132,n,TR132_3,TR132_3_5,-
TR132_5,TR132,n,TR132_11,TR132_5_11,-
TR132_5,TR132,n,TR132_12,TR132_5_12,-
TR132_7,TR132,n,TR132_4,TR132_4_7,-
TR132_7,TR132,n,TR132_13,TR132_7_13,-
TR132_7,TR132,n,TR132_14,TR132_7_14,-
TR133_8,TR133,n,TR133_6,TR133_6_8,-
TR133_8,TR133,n,TR133_14,TR133_8_14,-
TR133_8,TR133,n,TR133_20,TR133_8_20,-
TR133_9,TR133,n,TR133_2,TR133_2_9,-
TR133_9,TR133,n,TR133_10,TR133_9_10,=
TR133_9,TR133,n,TR133_11,TR133_9_11,-
TR135_5,TR135,p,TR135_2,TR135_2_5,-
TR135_5,TR135,p,TR135_10,TR135_5_10,-
TR135_5,TR135,p,TR135_11,TR135_5_11,-
TR135_5,TR135,p,TR135_9,TR135_5_9,-
TR136_10,TR136,n,TR136_12,TR136_10_12,-
TR136_10,TR136,n,TR136_23,TR136_10_23,-
TR136_10,TR136,n,TR136_9,TR136_9_10,-
TR136_6,TR136,n,TR136_2,TR136_2_6,=
TR136_6,TR136,n,TR136_8,TR136_6_8,-
TR137_16,TR137,n,TR137_11,TR137_11_16,=
TR137_16,TR137,n,TR137_12,TR137_12_16,-
TR137_2,TR137,p,TR137_1,TR137_1_2,-
TR137_2,TR137,p,TR137_4,TR137_2_4,-
TR137_2,TR137,p,TR137_5,TR137_2_5,-
TR137_2,TR137,p,TR137_6,TR137_2_6,-
TR137_7,TR137,n,TR137_3,TR137_3_7,=
TR137_7,TR137,n,TR137_11,TR137_7_11,-
TR138_15,TR138,n,TR138_10,TR138_10_15,-
TR138_15,TR138,n,TR138_14,TR138_14_15,=
TR138_18,TR138,n,TR138_16,TR138_16_18,-
TR138_18,TR138,n,TR138_30,TR138_18_30,-
TR138_18,TR138,n,TR138_31,TR138_18_31,-
TR138_2,TR138,n,TR138_1,TR138_1_2,-
TR138_2,TR138,n,TR138_19,TR138_2_19,-
TR138_2,TR138,n,TR138_6,TR138_2_6,-
TR141_3,TR141,n,TR141_2,TR141_2_3,-
TR141_3,TR141,n,TR141_5,TR141_3_5,-
TR141_3,TR141,n,TR141_6,TR141_3_6,-
TR141_5,TR141,n,TR141_3,TR141_3_5,-
TR141_5,TR141,n,TR141_7,TR141_5_7,=
TR142_6,TR142,n,TR142_4,TR142_4_6,-
TR142_6,TR142,n,TR142_15,TR142_6_15,-
TR142_6,TR142,n,TR142_16,TR142_6_16,-
TR143_1,TR143,n,TR143_13,TR143_1_13,-
TR143_1,TR143,n,TR143_14,TR143_1_14,-
TR143_1,TR143,n,TR143_2,TR143_1_2,-
TR143_11,TR143,n,TR143_20,TR143_11_20,-
TR143_11,TR143,n,TR143_21,TR143_11_21,-
TR143_11,TR143,n,TR143_8,TR143_8_11,-
TR144_16,TR144,n,TR144_11,TR144_11_16,-
TR144_16,TR144,n,TR144_24,TR144_16_24,-
TR144_16,TR144,n,TR144_25,TR144_16_25,-
TR145_7,TR145,n,TR145_6,TR145_6_7,-
TR145_7,TR145,n,TR145_13,TR145_7_13,-
TR145_7,TR145,n,TR145_14,TR145_7_14,-
TR146_12,TR146,n,TR146_13,TR146_12_13,-
