cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate
28662662835601,S,Napa High,Napa Valley Unified,Napa,409,168,513.0,521.0,500.0,83.0,28662662835601,626640.0,4022.0,Active,Napa,Napa Valley Unified,Napa High,2475 Jefferson Street,2475 Jefferson St.,Napa,94558-4931,CA,2475 Jefferson Street,2475 Jefferson St.,Napa,94558-4931,CA,(707) 253-3711,,www.nhs.nvusd.org,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,38.30909,-122.29599,Annie,Petrie,apetrie@nvusd.org,,,,,,,2015-08-14
19643291931088,S,Bonita High,Bonita Unified,Los Angeles,469,260,495.0,500.0,500.0,127.0,19643291931088,605610.0,505.0,Active,Los Angeles,Bonita Unified,Bonita High,3102 D Street,3102 D St.,La Verne,91750-4023,CA,115 West Allen Avenue,115 West Allen Ave.,San Dimas,91773-1437,CA,(909) 971-8220,,,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,34.107804,-117.76729,Derek,Bub,bub@bonita.k12.ca.us,,,,,,,2015-07-13
43694270000000,D,,East Side Union High,Santa Clara,6647,2910,499.0,533.0,500.0,1491.0,43694270000000,611820.0,,Active,Santa Clara,East Side Union High,,830 North Capitol Avenue,830 North Capitol Ave.,San Jose,95133-1316,CA,830 North Capitol Avenue,830 North Capitol Ave.,San Jose,95133-1316,CA,(408) 347-5000,,www.esuhsd.org,,,,,,56,High School District,,,,,,,,,,,37.379531,-121.85251,Chris,Funk,funkc@esuhsd.org,,,,,,,2015-06-23
25735852535409,S,Modoc High,Modoc Joint Unified,Modoc,52,13,515.0,518.0,500.0,8.0,25735852535409,625190.0,3764.0,Active,Modoc,Modoc Joint Unified,Modoc High,900 North Main Street,900 North Main St.,Alturas,96101-3376,CA,900 North Main Street,900 North Main St.,Alturas,96101-3376,CA,(530) 233-7201,401.0,www.modoc.k12.ca.us,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0.0,41.49173,-120.54247,Brian,Norby,bnorby@modoc.k12.ca.us,Kristin,Witt,kwitt@modoc.k12.ca.us,,,,2016-09-13
19753091995786,S,Vasquez High,Acton-Agua Dulce Unified,Los Angeles,96,38,517.0,486.0,500.0,20.0,19753091995786,600001.0,3278.0,Active,Los Angeles,Acton-Agua Dulce Unified,Vasquez High,33630 Red Rover Mine Road,33630 Red Rover Mine Rd.,Acton,93510-1641,CA,33630 Red Rover Mine Road,33630 Red Rover Mine Rd.,Acton,93510-1641,CA,(661) 269-0451,,,1994-08-31,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,34.49362,-118.21611,Tyrone,Devoe,tdevoe@aadusd.k12.ca.us,,,,,,,2015-08-12
25735850000000,D,,Modoc Joint Unified,Modoc,53,13,515.0,518.0,500.0,8.0,25735850000000,625190.0,,Active,Modoc,Modoc Joint Unified,,906 West Fourth Street,906 West Fourth St.,Alturas,96101-3716,CA,906 West Fourth Street,906 West Fourth St.,Alturas,96101-3716,CA,(530) 233-7201,,www.modoc.k12.ca.us,,,,,,54,Unified School District,,,,,,,,,,,41.487362,-120.55462,Tom,O'Malley,tomalley@modoc.k12.ca.us,,,,,,,2013-07-18
20764142030013,S,Yosemite High,Yosemite Unified,Madera,157,64,516.0,524.0,500.0,39.0,20764142030013,600160.0,7023.0,Active,Madera,Yosemite Unified,Yosemite High,50200 Road 427,50200 Road 427,Oakhurst,93644-9506,CA,50200 Road 427,50200 Road 427,Oakhurst,93644-9506,CA,(559) 683-4667,,www.yosemitehs.com,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,37.329796,-119.62791,Randy,Seals,rseals@yosemituesd.org,,,,,,,2016-07-22
34674393430865,S,West Campus,Sacramento City Unified,Sacramento,203,165,497.0,514.0,500.0,79.0,34674393430865,633840.0,10600.0,Active,Sacramento,Sacramento City Unified,West Campus,5022 58th Street,5022 58th St.,Sacramento,95820-5610,CA,5022 58th Street,5022 58th St.,Sacramento,95820-5610,CA,(916) 277-6400,,,2001-09-03,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,38.529345,-121.43879,David,Rodriguez,david-rodriguez@scusd.edu,,,,,,,2015-09-11
36679340110064,S,University Preparatory,Victor Valley Union High,San Bernardino,165,164,500.0,507.0,500.0,83.0,36679340110064,636972.0,11114.0,Active,San Bernardino,Victor Valley Union High,University Preparatory,13853 Seneca Rd,13853 Seneca Rd,Victorville,92392-9339,CA,13853 Seneca Rd,13853 Seneca Rd,Victorville,92392-9339,CA,(760) 243-5940,,www.vvuhsd.k12.ca.us/ups,2005-08-22,,0.0,,,56,High School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,7-12,7-12,N,0.0,34.513377,-117.36087,Valerie,Hatcher,vhatcher@vvuhsd.org,,,,,,,2016-08-24
30665970000000,D,,Newport-Mesa Unified,Orange,1730,682,508.0,519.0,500.0,355.0,30665970000000,627240.0,,Active,Orange,Newport-Mesa Unified,,"2985 Bear Street, Building A","2985 Bear St., Bldg. A",Costa Mesa,92626-4300,CA,"2985 Bear Street, Building A","2985 Bear St., Bldg. A",Costa Mesa,92626-4300,CA,(714) 424-5000,,www.nmusd.us,,,,,,54,Unified School District,,,,,,,,,,,33.678544,-117.89386,Frederick,Navarro,fnavarro@nmusd.us,,,,,,,2015-08-04
7100740731380,S,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,446,240,512.0,508.0,501.0,124.0,7100740731380,691005.0,3940.0,Active,Contra Costa,Contra Costa County Office of Education,Clayton Valley Charter High,1101 Alberta Way,1101 Alberta Way,Concord,94521-3799,CA,1101 Alberta Way,1101 Alberta Way,Concord,94521-3799,CA,(925) 682-7474,,www.claytonvalley.org,1980-07-01,,1.0,1400,Directly funded,0,County Office of Education (COE),66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,37.950133,-121.96702,Dave,Linzey,david.linzey@claytonvalley.org,,,,,,,2015-06-18
39685853934783,S,Lodi High,Lodi Unified,San Joaquin,456,181,498.0,520.0,501.0,92.0,39685853934783,622230.0,2658.0,Active,San Joaquin,Lodi Unified,Lodi High,3 South Pacific Avenue,3 South Pacific Ave.,Lodi,95242-3020,CA,3 South Pacific Avenue,3 South Pacific Ave.,Lodi,95242-3020,CA,(209) 331-7815,,,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,38.134161,-121.29049,Bob,Lofsted,blofsted@lodiusd.net,,,,,,,2015-08-18
15638261536135,S,Tehachapi High,Tehachapi Unified,Kern,259,102,528.0,518.0,501.0,56.0,15638261536135,638880.0,6529.0,Active,Kern,Tehachapi Unified,Tehachapi High,801 South Dennison Road,801 South Dennison Rd.,Tehachapi,93561-1524,CA,801 South Dennison Road,801 South Dennison Rd.,Tehachapi,93561-1524,CA,(661) 822-2130,,,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,35.125263,-118.43214,Scott,Heitman,sheitman@teh.k12.ca.us,,,,,,,2015-06-18
31669283130176,S,Woodcreek High,Roseville Joint Union High,Placer,545,313,519.0,529.0,501.0,183.0,31669283130176,633630.0,3513.0,Active,Placer,Roseville Joint Union High,Woodcreek High,2551 Woodcreek Oaks Boulevard,2551 Woodcreek Oaks Blvd.,Roseville,95747-6074,CA,2551 Woodcreek Oaks Boulevard,2551 Woodcreek Oaks Blvd.,Roseville,95747-6074,CA,(916) 771-6565,,,1994-08-28,,0.0,,,56,High School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,38.761015,-121.3325,Rebecca,Rood,rrood@rjuhsd.k12.ca.us,,,,,,,2016-08-19
19647331996115,S,City of Angels,Los Angeles Unified,Los Angeles,430,20,507.0,451.0,501.0,9.0,19647331996115,622710.0,7118.0,Active,Los Angeles,Los Angeles Unified,City of Angels,221 South Eastman Avenue,221 South Eastman Ave.,Los Angeles,90063-2423,CA,221 South Eastman Avenue,221 South Eastman Ave.,Los Angeles,90063-2423,CA,(323) 415-8350,,,1993-07-01,,0.0,,,54,Unified School District,63.0,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEMHIGH,Elementary-High Combination,K-12,K-12,P,0.0,34.03386,-118.18582,Vince,Carbino,vince.carbino@lausd.net,,,,,,,2016-03-03
10752750000000,D,,Sierra Unified,Fresno,148,50,522.0,500.0,501.0,24.0,10752750000000,636805.0,,Active,Fresno,Sierra Unified,,29143 Auberry Road,29143 Auberry Rd.,Prather,93651-9757,CA,29143 Auberry Road,29143 Auberry Rd.,Prather,93651-9757,CA,(559) 855-3662,,www.sierrausd.org,,,,,,54,Unified School District,,,,,,,,,,,37.036855,-119.52014,Melissa,Ireland,mireland@sierrausd.org,,,,,,,2015-12-18
15638260000000,D,,Tehachapi Unified,Kern,326,102,528.0,518.0,501.0,56.0,15638260000000,638880.0,,Active,Kern,Tehachapi Unified,,300 S. Robinson Street,300 S. Robinson St.,Tehachapi,93561-1519,CA,300 S. Robinson Street,300 S. Robinson St.,Tehachapi,93561-1519,CA,(661) 822-2100,,www.teh.k12.ca.us,,,,,,54,Unified School District,,,,,,,,,,,35.129681,-118.44634,Susan,Andreas-Bervel,sandreas@teh.k12.ca.us,,,,,,,2015-07-14
15635291530476,S,Liberty High,Kern High,Kern,424,208,517.0,531.0,501.0,120.0,15635291530476,619540.0,7994.0,Active,Kern,Kern High,Liberty High,925 Jewetta Avenue,925 Jewetta Ave.,Bakersfield,93312-4683,CA,925 Jewetta Avenue,925 Jewetta Ave.,Bakersfield,93312-4683,CA,(661) 587-0925,,www.kernhigh.org/liberty/,1999-08-01,,0.0,,,56,High School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,35.363215,-119.12796,Elizabeth (Libby),Wyatt,libby_wyatt@khsd.k12.ca.us,,,,,,,2015-06-18
10752751036938,S,Sierra High,Sierra Unified,Fresno,132,50,522.0,500.0,501.0,24.0,10752751036938,636805.0,401.0,Active,Fresno,Sierra Unified,Sierra High,33326 Lodge Road,33326 Lodge Rd.,Tollhouse,93667-9606,CA,33326 Lodge Road,33326 Lodge Rd.,Tollhouse,93667-9606,CA,(559) 855-8311,,www.sierra.k12.ca.us,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,37.036142,-119.4523,Sean,Osterberg,sosterberg@sierrausd.org,,,,,,,2016-08-17
37681303737905,S,Santana High,Grossmont Union High,San Diego,376,147,509.0,527.0,501.0,81.0,37681303737905,616230.0,2026.0,Active,San Diego,Grossmont Union High,Santana High,9915 North Magnolia Avenue,9915 North Magnolia Ave.,Santee,92071-1903,CA,9915 North Magnolia Avenue,9915 North Magnolia Ave.,Santee,92071-1903,CA,(619) 956-0211,,http://sultans.guhsd.net/,1980-07-01,,0.0,,,56,High School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,32.857284,-116.97097,Tim,Schwuchow,tschwuchow@guhsd.net,,,,,,,2015-06-18
37737910000000,D,,San Marcos Unified,San Diego,1338,711,516.0,511.0,501.0,379.0,37737910000000,634880.0,,Active,San Diego,San Marcos Unified,,"255 Pico Avenue, Suite 250","255 Pico Ave., Ste. 250",San Marcos,92069-3712,CA,"255 Pico Avenue, Suite 250","255 Pico Ave., Ste. 250",San Marcos,92069,CA,(760) 752-1299,,www.smusd.org,,,,,,54,Unified School District,,,,,,,,,,,33.142336,-117.16574,Kevin,Holt,kevin.holt@smusd.org,,,,,,,2015-06-23
37684520118430,S,Mission Vista High,Vista Unified,San Diego,382,234,516.0,507.0,501.0,123.0,37684520118430,641190.0,12341.0,Active,San Diego,Vista Unified,Mission Vista High,1306 Melrose Drive,1306 Melrose Dr.,Oceanside,92057-4649,CA,1234 Arcadia Avenue,1234 Arcadia Ave.,Vista,92084,CA,(760) 758-6800,73995.0,www.mvhs.vistausd.org,2009-08-24,,0.0,,,54,Unified School District,63.0,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,0.0,33.25599,-117.26381,Nicole,Miller,nicolemiller@vistausd.org,,,,,,,2015-06-18
50755640000000,D,,Oakdale Joint Unified,Stanislaus,435,140,509.0,510.0,501.0,64.0,50755640000000,600062.0,,Active,Stanislaus,Oakdale Joint Unified,,168 South Third Avenue,168 South Third Ave.,Oakdale,95361-3935,CA,168 South Third Avenue,168 South Third Ave.,Oakdale,95361-3935,CA,(209) 848-4884,,www.ojusd.org,,,,,,54,Unified School District,,,,,,,,,,,37.765337,-120.84731,Marc,Malone,mmalone@ojusd.org,,,,,,,2015-06-23
37683040000000,D,,Ramona City Unified,San Diego,510,163,516.0,530.0,501.0,100.0,37683040000000,631710.0,,Active,San Diego,Ramona City Unified,,720 Ninth Street,720 Ninth St.,Ramona,92065-2348,CA,720 Ninth Street,720 Ninth St.,Ramona,92065-2348,CA,(760) 787-2007,,www.ramonausd.net,,,,,,54,Unified School District,,,,,,,,,,,33.039022,-116.86397,Anne,Staffieri,astaffieri@ramonausd.net,,,,,,,2016-07-08
37683043735974,S,Ramona High,Ramona City Unified,San Diego,395,163,516.0,530.0,501.0,100.0,37683043735974,631710.0,4908.0,Active,San Diego,Ramona City Unified,Ramona High,1401 Hanson Lane,1401 Hanson Ln.,Ramona,92065-3304,CA,1401 Hanson Lane,1401 Hanson Ln.,Ramona,92065-3304,CA,(760) 787-4000,,www.ramonausd.net/rhs,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,8-12,N,0.0,33.025724,-116.86867,Rowena,Mak,rmak@ramonausd.net,,,,,,,2016-07-19
37683383730314,S,University City High,San Diego Unified,San Diego,439,337,516.0,525.0,501.0,179.0,37683383730314,634320.0,7838.0,Active,San Diego,San Diego Unified,University City High,6949 Genesee Avenue,6949 Genesee Ave.,San Diego,92122-2455,CA,6949 Genesee Avenue,6949 Genesee Ave.,San Diego,92122-2455,CA,(858) 457-3040,,www.universitycityhigh.org,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0.0,32.861197,-117.20954,Jeff,Olivero,jolivero@sandi.net,,,,,,,2015-06-18
38767030121814,S,San Francisco Flex Academy,SBE - San Francisco Flex Academy,San Francisco,32,15,501.0,509.0,502.0,8.0,38767030121814,601411.0,12672.0,Closed,San Francisco,SBE - San Francisco Flex Academy,San Francisco Flex Academy,1350 7th Avenue,1350 7th Ave.,San Francisco,94122-2508,CA,1350 7th Avenue,1350 7th Ave.,San Francisco,94122-2508,CA,,,www.sfflex.org,2010-09-07,2016-06-30,1.0,1208,Directly funded,2,State Board of Education,65.0,K-12 Schools (Public),TRAD,Traditional,HS,High School,6-12,9-12,N,0.0,37.763243,-122.46382,,,,,,,,,,2016-07-28
31750850108084,S,Whitney High,Rocklin Unified,Placer,440,279,523.0,530.0,502.0,168.0,31750850108084,600013.0,11010.0,Active,Placer,Rocklin Unified,Whitney High,701 Wildcat Boulevard,701 Wildcat Blvd.,Rocklin,95765-5469,CA,701 Wildcat Boulevard,701 Wildcat Blvd.,Rocklin,95765-5469,CA,(916) 632-6500,,www.rocklin.k12.ca.us,2005-08-22,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,38.834335,-121.289,Justin,Cutts,jcutts@rocklin.k12.ca.us,,,,,,,2016-08-16
19644440000000,D,,Culver City Unified,Los Angeles,550,341,514.0,516.0,502.0,170.0,19644440000000,610260.0,,Active,Los Angeles,Culver City Unified,,4034 Irving Place,4034 Irving Pl.,Culver City,90232-2810,CA,4034 Irving Place,4034 Irving Pl.,Culver City,90232-2810,CA,(310) 842-4220,,www.ccusd.org,,,,,,54,Unified School District,,,,,,,,,,,34.022089,-118.39332,Joshua,Arnold,josharnold@ccusd.org,,,,,,,2016-08-30
19644441932201,S,Culver City High,Culver City Unified,Los Angeles,510,341,514.0,516.0,502.0,170.0,19644441932201,610260.0,1116.0,Active,Los Angeles,Culver City Unified,Culver City High,4401 Elenda Street,4401 Elenda St.,Culver City,90230-4101,CA,4401 Elenda Street,4401 Elenda St.,Culver City,90230-4101,CA,(310) 842-4200,,,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,34.007671,-118.40207,Lisa,Cooper,lisacooper@ccusd.org,,,,,,,2015-10-08
15101571530492,S,Valley Oaks Charter,Kern County Office of Education,Kern,63,17,499.0,476.0,502.0,6.0,15101571530492,691012.0,8491.0,Active,Kern,Kern County Office of Education,Valley Oaks Charter,3501 Chester Avenue,3501 Chester Ave.,Bakersfield,93301-1629,CA,1300 17th Street,1300 17th St.,Bakersfield,93301-4504,CA,(661) 852-6700,,www.valleyoakscharterschool.org,2000-09-05,,1.0,0332,Locally funded,0,County Office of Education (COE),65.0,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,P,0.0,35.391474,-119.0189,Deanna,Downs,dedowns@kern.org,,,,,,,2015-08-18
12755151232206,S,Eureka Senior High,Eureka City Schools,Humboldt,249,111,517.0,523.0,502.0,57.0,12755151232206,600052.0,1477.0,Active,Humboldt,Eureka City Schools,Eureka Senior High,1915 J Street,1915 J St.,Eureka,95501-3052,CA,1915 J Street,1915 J St.,Eureka,95501-3052,CA,(707) 441-2508,,www.eurekacityschools.org/eurhi.html,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0.0,40.790302,-124.15887,Jennifer,Johnson,johnsonj@eurekacityschools.org,,,,,,,2016-07-01
50755645035654,S,Oakdale High,Oakdale Joint Unified,Stanislaus,353,138,509.0,511.0,502.0,64.0,50755645035654,600062.0,4231.0,Active,Stanislaus,Oakdale Joint Unified,Oakdale High,739 West G Street,739 West G St.,Oakdale,95361-3739,CA,739 West G Street,739 West G St.,Oakdale,95361-3739,CA,(209) 847-3007,,http://ohs.ojusd.org,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0.0,37.761648,-120.85525,Michael,Moore,mmoore@ojusd.org,,,,,,,2015-10-08
3739810334755,S,Argonaut High,Amador County Unified,Amador,125,27,508.0,492.0,502.0,15.0,3739810334755,602450.0,8787.0,Active,Amador,Amador County Unified,Argonaut High,501 Argonaut Lane,501 Argonaut Ln.,Jackson,95642-2020,CA,501 Argonaut Lane,501 Argonaut Ln.,Jackson,95642-2020,CA,(209) 257-7700,,,1980-07-01,,0.0,,,54,Unified School District,66.0,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0.0,38.353826,-120.79177,Kelly,Hunkins,khunkins@amadorcoe.k12.ca.us,,,,,,,2015-08-17
12755150000000,D,,Eureka City Schools,Humboldt,321,111,517.0,523.0,502.0,57.0,12755150000000,600052.0,,Active,Humboldt,Eureka City Schools,,2100 J Street,2100 J St.,Eureka,95501-3055,CA,2100 J Street,2100 J St.,Eureka,95501-3055,CA,(707) 441-2414,,www.eurekacityschools.org,,,,,,54,Unified School District,,,,,,,,,,,40.788638,-124.15892,Fred,"Van Vleck, Ed.D.",vanvleckf@eurekacityschools.org,,,,,,,2015-06-23
4755070000000,D,,Gridley Unified,Butte,163,37,503.0,495.0,502.0,19.0,4755070000000,600051.0,,Active,Butte,Gridley Unified,,429 Magnolia Street,429 Magnolia St.,Gridley,95948-2533,CA,429 Magnolia Street,429 Magnolia St.,Gridley,95948-2533,CA,(530) 846-4721,,www.gusd.org,,,,,,54,Unified School District,,,,,,,,,,,39.363133,-121.6911,Jordan,Reeves,jreeves@gusd.org,,,,,,,2016-08-17
38767030000000,D,,SBE - San Francisco Flex Academy,San Francisco,32,15,501.0,509.0,502.0,8.0,38767030000000,601411.0,,Closed,San Francisco,SBE - San Francisco Flex Academy,,1350 7th Avenue,1350 7th Ave.,San Francisco,94122-2508,CA,1350 7th Avenue,1350 7th Ave.,San Francisco,94122-2508,CA,,,www.sfflex.org,,,,,,2,State Board of Education,,,,,,,,,,,37.763243,-122.46382,,,,,,,,,,2016-08-02
