account_id,district_id,frequency,date,loan_id,amount,duration,payments,status,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
3230,1,POPLATEK MESICNE,1995-03-11,5635,77184,36,2144,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
3293,1,POPLATEK MESICNE,1997-08-08,5644,276084,36,7669,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
3664,1,POPLATEK MESICNE,1996-04-28,5719,271584,48,5658,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
3678,1,POPLATEK MESICNE,1993-03-24,5724,316140,60,5269,D,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
3862,1,POPLATEK MESICNE,1996-11-23,5760,74916,36,2081,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
3953,1,POPLATEK MESICNE,1997-06-16,5782,63576,12,5298,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
4144,1,POPLATEK MESICNE,1996-08-19,5823,212976,36,5916,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
4616,1,POPLATEK MESICNE,1997-09-24,5930,66696,24,2779,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
4994,1,POPLATEK TYDNE,1996-01-11,6012,258444,36,7179,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
4999,1,POPLATEK MESICNE,1996-02-12,6014,165168,36,4588,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5213,1,POPLATEK MESICNE,1995-08-18,6063,320976,48,6687,D,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5698,1,POPLATEK MESICNE,1997-09-04,6168,99216,36,2756,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
6061,1,POPLATEK MESICNE,1997-03-08,6234,5148,12,429,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
6592,1,POPLATEK MESICNE,1996-10-20,6338,390660,60,6511,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
6649,1,POPLATEK MESICNE,1995-07-08,6346,100260,60,1671,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
7099,1,POPLATEK MESICNE,1996-08-20,6450,234336,48,4882,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
7176,1,POPLATEK MESICNE,1996-12-07,6468,203940,60,3399,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
7674,1,POPLATEK MESICNE,1996-07-21,6562,94488,24,3937,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
8327,1,POPLATEK TYDNE,1995-08-08,6698,247728,48,5161,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
8558,1,POPLATEK PO OBRATU,1994-02-27,6736,288360,60,4806,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
8772,1,POPLATEK MESICNE,1996-05-16,6763,88272,48,1839,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
8784,1,POPLATEK MESICNE,1996-10-16,6766,74352,24,3098,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
8899,1,POPLATEK TYDNE,1994-09-05,6785,125340,60,2089,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
8926,1,POPLATEK MESICNE,1997-03-21,6791,566640,60,9444,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
9024,1,POPLATEK MESICNE,1996-01-05,6817,70656,48,1472,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
9037,1,POPLATEK MESICNE,1996-10-22,6821,321936,48,6707,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
9377,1,POPLATEK MESICNE,1995-09-17,6913,99936,24,4164,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
9510,1,POPLATEK MESICNE,1996-06-09,6940,228276,36,6341,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
9560,1,POPLATEK MESICNE,1997-07-13,6948,157068,36,4363,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
9646,1,POPLATEK TYDNE,1996-07-30,6962,279072,48,5814,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
10022,1,POPLATEK MESICNE,1997-05-07,7037,218064,48,4543,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
10404,1,POPLATEK MESICNE,1996-12-30,7129,194280,60,3238,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
10451,1,POPLATEK MESICNE,1993-08-29,7142,482940,60,8049,D,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
10652,1,POPLATEK MESICNE,1997-03-18,7172,45720,12,3810,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
10679,1,POPLATEK MESICNE,1997-05-30,7181,197808,24,8242,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
10762,1,POPLATEK MESICNE,1995-10-23,7194,68832,36,1912,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
11349,1,POPLATEK TYDNE,1995-05-26,7304,419880,60,6998,C,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
